,Unnamed: 0.1,Unnamed: 0.1.1,bodyparts coords,Rightpaw x,Rightpaw y,Rightpaw likelihood,Leftpaw x,Leftpaw y,Leftpaw likelihood,Tailbase x,Tailbase y,Tailbase likelihood,Rotarodtop x,Rotarodtop y,Rotarodtop likelihood,Rotarodbottom x,Rotarodbottom y,Rotarodbottom likelihood,rel RightY mm,rel LeftY mm,rel LeftX px,rel RightX px,rel LeftX mm,rel RightX mm,Rightpaw euclidean velocity,Leftpaw euclidean velocity,step up,wait time b4 step up
0,0,0,0,397.2377783060074,216.51599216461184,0.9999997615814208,220.32769393920898,205.9202787876129,1.0,248.8897466659546,145.48642897605896,1.0,433.8213558197022,196.94905012846002,1.0,198.6421241760254,313.09134244918823,1.0,5.399499608133624,2.6929927415508272,0.0,176.9100843667984,0.0,45.18887412959603,,,False,0
1,1,1,1,338.28161597251886,161.75461530685425,1.0,224.03789854049683,202.84898853302,1.0,252.7087973356247,136.27754592895508,1.0,431.4448366165161,195.67348051071167,1.0,201.01061773300168,314.06725835800165,1.0,-8.588425245589429,1.908480376260804,3.710204601287842,117.95392203330988,0.9477128978980348,30.12945788214078,80.46513202903479,4.8164760989103605,True,1
2,2,2,2,331.08907431364065,185.2373423576355,1.0,225.41975545883182,200.4367246627808,1.0,256.58611011505127,131.14532613754272,1.0,431.5317959785461,195.34930181503296,1.0,201.08963346481323,313.5768504142761,1.0,-2.5901352062423744,1.2923058444935838,5.092061519622831,110.76138037443168,1.3006863226253735,28.29223723495012,-24.55954244802195,2.7800261729724203,False,0
3,3,3,3,334.50976848602295,184.52596759796143,1.0,224.65303254127502,198.87175750732425,1.0,254.3147759437561,120.50490856170654,1.0,431.5626513957977,195.2556700706482,1.0,200.4001636505127,312.66882562637335,1.0,-2.7718446016617597,0.892559814989401,4.32533860206604,114.18207454681395,1.104839118449528,29.165999287265528,3.49388074634375,1.7426951052793318,True,1
4,4,4,4,336.12558364868164,185.65960359573364,1.0,222.6935782432556,193.4800786972046,1.0,252.6110692024231,115.74963569641113,1.0,431.9377250671387,195.56986808776853,1.0,199.49453473091125,312.14312887191767,1.0,-2.482275272725744,-0.4846589906528238,2.3658843040466024,115.79788970947266,0.6043276074589531,29.578733633435906,-1.9738260347160144,5.736694303997745,False,0
5,5,5,5,332.24725092947483,187.07433617115018,0.9999998807907104,220.0043008327484,186.68425736576322,0.0001681052817730233,243.85806131362915,128.2511625289917,1.0,431.2714867591858,195.75565671920776,1.0,199.5382254123688,312.62528800964355,1.0,-2.120904283014457,-2.2205437247135924,-0.3233931064605713,111.91955699026585,-0.08260563796875586,28.588075075399388,-4.128308726441713,7.308584032460581,False,0
6,6,6,6,335.8608934879303,188.18650248646736,1.0,217.31502342224118,179.88843603432178,1.0,238.57866048812863,132.9201021194458,1.0,431.6701798439026,195.8621678352356,1.0,202.0460424423217,313.43633174896235,1.0,-1.836819043815528,-3.9564284587743748,-3.012670516967802,115.53319954872131,-0.7695388833964794,29.511122731545573,-3.780916086506916,7.308584032460655,False,0
7,7,7,7,335.4508984088897,188.57289946079254,1.0,216.0723562240601,178.45260047912598,1.0,240.7747201919556,129.53577470779422,1.0,431.89415621757513,195.64438581466675,1.0,201.86174488067627,312.6746459007263,1.0,-1.738120067443809,-4.323189869842467,-4.255337715148897,115.12320446968072,-1.0869585025469304,29.406395993740702,-0.5633813864560567,1.898906397640418,False,0
8,8,8,8,335.8167638778686,190.11931681632998,1.0,208.499267578125,177.30855298042297,1.0,234.8840389251709,127.95788693428041,1.0,431.140878200531,195.2762198448181,1.0,199.48526668548584,312.68328714370733,1.0,-1.343112290010862,-4.615418651498464,-11.828426361083984,115.4890699386596,-3.021383839679716,29.49985052283229,-1.5891079821392111,7.659015362204173,False,0
9,9,9,9,336.0920886993408,190.5861325263977,1.0,207.89285320043564,177.97623420041054,0.00268576480448246,225.16856622695926,118.3909261226654,1.0,431.07031631469727,195.7881155014038,1.0,197.57873404026031,313.27623891830444,1.0,-1.223871623547604,-4.444870077533871,-12.434840738773346,115.76439476013184,-3.1762827708619827,29.570177880070247,-0.541960021112944,-0.9019626427920766,False,0
10,10,10,10,335.06744360923767,191.4369523525238,1.0,207.28643882274628,178.64391542039814,0.0009666511323302984,232.5511405467987,135.57251477241516,1.0,431.4929873943329,195.64643621444702,1.0,223.0018982887268,315.2653555870056,1.0,-1.0065431983908937,-4.2743215035692685,-13.041255116462708,114.73974967002869,-3.331181702044252,29.308448549207586,-1.3318378043897596,-0.9019626427920976,False,0
11,11,11,11,336.5420022010803,192.2466950416565,1.0,206.68002444505692,179.31159664038572,0.6689174771308899,235.3793172836304,139.85065795481205,1.0,432.6356930732727,195.59972858428955,1.0,199.84176993370056,314.95756006240845,1.0,-0.7997072761338522,-4.103772929604674,-13.647669494152098,116.21430826187134,-3.4860806332265257,29.685101145592856,-1.6822622457217613,-0.9019626427920766,False,0
12,12,12,12,338.0351113080978,193.1962733268737,1.0,206.07361006736755,179.97927786037326,0.9998120665550232,234.26506114006042,144.57497358322144,1.0,433.9328422546387,195.1478977203369,1.0,199.6396198272705,314.48875296115875,0.9999943971633912,-0.5571525695411573,-3.933224355640088,-14.25408387184143,117.7074173688888,-3.640979564408786,30.06649217675009,-1.7694840279625343,-0.9019626427920556,False,0
