,Unnamed: 0.1,Unnamed: 0.1.1,bodyparts coords,Rightpaw x,Rightpaw y,Rightpaw likelihood,Leftpaw x,Leftpaw y,Leftpaw likelihood,Tailbase x,Tailbase y,Tailbase likelihood,Rotarodtop x,Rotarodtop y,Rotarodtop likelihood,Rotarodbottom x,Rotarodbottom y,Rotarodbottom likelihood,rel RightY mm,rel LeftY mm,rel LeftX px,rel RightX px,rel LeftX mm,rel RightX mm,Rightpaw euclidean velocity,Leftpaw euclidean velocity,step up,wait time b4 step up
0,0,0,0,,,0.0001183803251478821,205.11734485626218,185.1905426979065,1.0,301.639310836792,188.28589820861816,1.0,371.33761101961136,174.03124523162842,1.0,138.97662019729614,287.6637177467346,1.0,,3.2708530427089357,0.0,,0.0,,,,False,0
1,1,1,1,,,0.06036927923560144,205.77832126617432,185.202250957489,1.0,295.5012457370758,175.8488576412201,1.0,371.0186068415642,173.78883826732638,1.0,138.62049055099487,288.52087163925165,1.0,,3.273906032737758,0.6609764099121378,,0.17235306191544886,,,-0.6610800993849308,False,0
2,2,2,2,323.55531990528107,183.4194700717926,0.9999736547470092,206.3798770904541,186.48140525817868,1.0,295.79537391662603,177.0444598197937,1.0,371.5332715213299,173.841215133667,1.0,138.28071880340576,287.6832995414734,1.0,2.8090365763301435,3.6074522184715048,1.262532234191923,118.43797504901887,0.3292118948070412,30.88332252202073,,-1.413543467565751,False,0
3,3,3,3,324.9775123596192,185.9857177734375,0.9999998807907104,207.12555313110352,189.00877666473392,1.0,294.6512649059296,183.64264178276062,1.0,370.7777075767517,174.4209280014038,1.0,137.98742580413818,288.5348014831543,1.0,3.478199109786936,4.2664775543004385,2.008208274841337,119.86016750335699,0.5236508292010826,31.25416665573317,-2.933983408844371,-2.635078553719332,False,0
4,4,4,4,323.0616422891617,185.88523626327515,0.9999997615814208,209.20142841339108,189.49877643585202,1.0,288.1484580039978,179.37491035461426,1.0,371.5170650780201,174.0254669189453,1.0,138.3237204551697,288.5484323501587,1.0,3.4519980295627986,4.394247561858349,4.084083557128906,117.94429743289948,1.0649461851191837,30.754593497109536,1.9185032344928143,-2.132922399738981,True,4
5,5,5,5,319.240793466568,181.2902466058731,1.0,214.3232157230377,186.9439492225647,1.0,280.28755712509155,152.7752389907837,1.0,371.0806697010994,173.90734767913818,1.0,138.79072904586792,288.6141738891602,1.0,2.2538304020247235,3.728062980575764,9.205870866775511,114.1234486103058,2.4004790605127613,29.758287148177057,5.9760200532417285,5.7236218721200025,True,0
6,6,6,6,318.3524932861328,170.74040460586545,1.0,214.19810438156128,136.07137250900269,0.9991289973258972,272.024003982544,118.69082641601562,1.0,369.12443614006037,172.9375333786011,1.0,138.43281364440918,288.13539886474615,1.0,-0.4970961728998263,-9.53722793241838,9.080759525299099,113.23514842987065,2.36785562273126,29.526658222088145,10.587173533842106,50.87273055699898,True,0
7,7,7,7,318.87968277931213,168.23928356170651,1.0,217.31648826599118,157.59663915634158,1.0,255.95461893081662,106.6714825630188,1.0,370.6952409744263,172.79444909095764,1.0,140.59679317474362,287.84659314155584,1.0,-1.1492765892013084,-3.9244018775392013,12.199143409729006,113.76233792304994,3.1809905586372613,29.66412564452035,2.5560780972523807,-21.74997522503675,True,0
8,8,8,8,317.61248409748083,165.47340631484983,1.0,214.14795970916745,158.73335790634158,0.17325739562511444,248.13704061508182,98.2416262626648,1.0,369.04003715515137,173.1871649026871,1.0,140.2432346343994,288.22352600097656,1.0,-1.8704935724842515,-3.627996507905444,9.030614852905273,112.49513924121864,2.3547801366833205,29.33369694904258,3.0423460427628104,-3.3662594570248197,True,0
9,9,9,9,319.2062842845917,128.8503494262695,1.0,210.97943115234366,159.87007665634158,0.0005245621432550251,253.2311501502991,82.07876443862916,1.0,369.9504075050354,173.72428786754608,1.0,139.50639247894287,287.0409111976624,1.0,-11.420147534097712,-3.3315911382716856,5.862086296081486,114.08893942832952,1.528569714729365,29.749288698173967,36.65772080886406,-3.3662594570248734,True,0
10,10,10,10,324.2498007416725,161.2233600616455,1.0,207.81090259552,161.00679540634158,1.0,263.5918309688568,88.46056938171387,1.0,370.0938591957092,172.81487238407138,1.0,138.06652975082395,287.3916184902191,1.0,-2.978715400127716,-3.035185768637928,2.6935577392578125,119.13245588541037,0.7023592927754395,31.06441203867925,-32.76352966105778,-3.3662594570247664,False,0
11,11,11,11,326.87553644180304,160.7945914268494,1.0,209.36922264099118,159.9147231578827,1.0,269.7765703201294,85.2308977842331,1.0,370.6063299179077,173.2412897348404,1.0,137.89939069747922,287.05299782752985,1.0,-3.0905190680834917,-3.3199493290799693,4.251877784729004,121.75819158554087,1.1086994090844062,31.749086379414567,2.660513204087669,1.9028881102081103,True,1
12,12,12,12,329.04286241531366,163.11505270004272,1.0,211.69981670379642,162.15918159484863,1.0,266.25661659240717,81.21405839920044,1.0,370.5374457836151,172.4111928939819,1.0,138.12028694152832,287.1160957813263,1.0,-2.4854466335857843,-2.734695032327587,6.5824718475342365,123.92551755905147,1.716414021561791,32.31422798220354,-3.1751917100930784,-3.2356239523236634,False,0
13,13,13,13,331.00347805023193,163.86114925146103,1.0,209.2447627385457,162.91166514158252,0.00013388607476372272,268.2483953386545,81.81964206695557,1.0,369.7750687599182,171.69708347320557,1.0,139.83958625793457,288.485981464386,1.0,-2.2908980488055875,-2.5384810050556887,4.127417882283538,125.88613319396977,1.0762458374432855,32.82546878119421,-2.097778284739418,-2.5677853221012312,False,0
14,14,14,14,330.8601369857788,164.05808466300368,1.0,206.7897087732951,163.66414868831637,8.073217759374529e-05,268.1571626663208,81.94662618637084,1.0,369.73661971092224,171.5730080604553,1.0,139.28339862823486,287.2201681137085,1.0,-2.2395461084489448,-2.3422669777837983,1.6723639170329252,125.74279212951664,0.4360776533248032,32.78809184763617,-0.2435779486694751,-2.567785322101087,False,0
15,15,15,15,330.9969689846039,163.83710527420044,1.0,204.33465480804443,164.41663223505017,1.0,263.6115803718567,84.5771083831787,1.0,370.40803003311163,172.91206920146942,1.0,138.98513889312744,286.3344221115113,1.0,-2.297167641849065,-2.146052950511921,-0.782690048217745,125.87962412834169,-0.20409053079369424,32.82377150822897,0.2599132281710955,-2.5677853221011517,True,3
16,16,16,16,329.72596693038935,163.30165386199948,1.0,205.2117890119553,163.33706426620486,1.0,264.6016345024109,86.19291710853577,1.0,369.5534303188324,171.71650791168213,1.0,138.54385280609128,286.8246939182281,1.0,-2.436789402952541,-2.4275559545314818,0.09444415569311104,124.60862207412715,0.02462680841497932,32.4923510634754,1.3791861501064908,1.3909821749494566,True,0
17,17,17,17,330.25984334945684,164.38629612326622,1.0,209.2349538803101,162.88245820999148,1.0,273.7829360961914,99.38146018981934,1.0,370.4444683790207,171.67948436737058,1.0,137.5004115104675,287.3273248672485,1.0,-2.153963250598529,-2.546096865490918,4.117609024047908,125.1424984931947,1.0736881262671334,32.631562136867515,-1.2089139199141323,4.048767988451568,False,0
18,18,18,18,331.74190267920494,164.44771862030032,1.0,206.6860489845276,164.5507583618164,1.0,281.9740924835205,111.56759333610536,1.0,371.8100887387992,170.4096636772156,1.0,137.77022171020508,288.0685014724732,1.0,-2.1379470126881213,-2.1110788602352457,1.5687041282654093,126.62455782294278,0.409047820302525,33.01801687200156,-1.4833315812842665,-3.0463324776398015,False,0
19,19,19,19,332.92533326148987,164.9688936471939,1.0,204.79708379507062,164.20729064941406,1.0,291.40454244613653,114.70418977737428,1.0,371.73973420262337,169.7366437911987,1.0,138.25653266906738,287.79231691360474,1.0,-2.002047893851313,-2.200639865762671,-0.32026106119155884,127.80798840522768,-0.08350974963840757,33.3266025966393,-1.2931091801332066,1.9199373834693407,False,0
20,20,20,20,334.00537085533136,166.23280096054074,1.0,204.4236801862717,164.3265514373779,1.0,297.0277752876282,114.82937622070312,1.0,371.74670046567917,169.39696931838992,1.0,138.43337202072144,287.6616711616516,1.0,-1.6724774399502251,-2.169541990462176,-0.6936646699904827,128.88802599906919,-0.18087669699334846,33.6082280578371,-1.662511022773245,-0.39198646738097415,False,0
21,21,21,21,336.24697494506836,166.1106698513031,1.0,203.44456022977832,164.26424980163574,1.0,300.62786763906485,115.89440250396729,1.0,371.8686302602291,169.9769854545593,1.0,138.16041803359983,288.26649427413935,1.0,-1.7043237665612394,-2.18578746839675,-1.6727846264838604,131.12963008880618,-0.4361873555183431,34.192738068594856,2.244928707769857,0.9811000881764014,True,4
22,22,22,22,340.45739999413485,166.49736261367795,1.0,203.69492101669312,163.2993733882904,1.0,304.0722069740296,117.4595079421997,1.0,373.04544305801386,169.569993019104,1.0,138.165123462677,288.34892654418945,1.0,-1.6034916027859734,-2.4373840484201903,-1.4224238395690634,135.3400551378727,-0.3709044686236922,35.29062845967338,-4.228145029002628,0.9968284790548259,False,0
23,23,23,23,341.65714871883387,167.22356986999512,1.0,203.42420518398285,164.1814451217651,1.0,306.29877662658686,120.70358657836914,1.0,373.4196436405182,169.66173601150513,1.0,138.475998878479,288.75989294052124,1.0,-1.4141292559086938,-2.207379222508716,-1.6931396722793297,136.5398038625717,-0.4414950403549995,35.603469225440676,-1.4024171924019733,-0.9226795787677758,False,0
24,24,24,24,341.814847111702,167.26335906982422,1.0,203.89672935754055,163.83376646041867,1.0,306.7581195831299,121.73616123199464,1.0,373.53344249725336,169.58406639099118,1.0,138.4581880569458,288.4936232566833,1.0,-1.403754013587076,-2.298038255035592,-1.220615498721628,136.69750225543984,-0.3182818864202584,35.64458990760478,-0.16264059621213686,0.5866511281434974,False,0
25,25,25,25,338.9799995422363,165.38834500312802,1.0,203.8706569373608,163.39538240432742,1.0,305.23075342178345,115.86665058135986,1.0,374.3472681045532,171.43816852569583,1.0,137.5961351394653,289.12993144989014,1.0,-1.8926737551745016,-2.4123491944718194,-1.2466879189013866,133.86265468597415,-0.32508040658246035,34.905388551347706,3.398828988403823,0.4391586862730232,True,3
26,26,26,26,338.6117233548845,165.56121832132337,0.00024389584723394364,201.03451251983643,164.88996505737302,1.0,309.215803027153,122.35668134689331,1.0,372.28735598921776,172.696044921875,1.0,137.92940139770508,288.6495189666748,1.0,-1.847596131725865,-2.0226289371749435,-4.082832336425753,133.4943784986223,-1.064619922765359,34.809358605999016,-0.4068323171950397,-3.2058528450069947,False,0
27,27,27,27,338.2434471675328,165.73409163951868,0.0008595163235440849,200.3322687149048,166.40318775177005,1.0,314.29553639888763,133.70497417449948,1.0,373.7564458847046,172.43206170201302,1.0,137.0536456108093,288.86932325363165,1.0,-1.802518508277236,-1.6280481914355571,-4.785076141357365,133.12610231127059,-1.2477336741429719,34.713328660650376,-0.4068323171948733,-1.668229386026704,False,0
