,Unnamed: 0.1,Unnamed: 0.1.1,bodyparts coords,Rightpaw x,Rightpaw y,Rightpaw likelihood,Leftpaw x,Leftpaw y,Leftpaw likelihood,Tailbase x,Tailbase y,Tailbase likelihood,Rotarodtop x,Rotarodtop y,Rotarodtop likelihood,Rotarodbottom x,Rotarodbottom y,Rotarodbottom likelihood,rel RightY mm,rel LeftY mm,rel LeftX px,rel RightX px,rel LeftX mm,rel RightX mm,Rightpaw euclidean velocity,Leftpaw euclidean velocity,step up,wait time b4 step up
0,0,0,0,348.520357131958,137.87815713882443,1.0,239.72738909721366,139.2756118774414,1.0,292.5727821588516,111.35317611694336,1.0,449.30827856063837,147.02101421356198,1.0,215.5533542633057,265.70181798934937,1.0,-2.3134318977379364,-1.9567681782005688,0.0,108.79296803474436,0.0,27.766555557415643,,,False,0
1,1,1,1,348.45213890075684,136.90302991867063,1.0,240.88331699371338,136.0995454788208,1.0,293.84404754638666,104.66616582870485,1.0,449.6093258857727,146.9640550613403,1.0,214.5395975112915,264.2224411964416,1.0,-2.562307579898772,-2.767375938098948,1.155927896499719,108.7247498035432,0.2950203192202253,27.749144640691036,0.9775105229884284,3.379876783309286,True,1
2,2,2,2,349.2687044143677,135.93890738487244,1.0,240.9871296882629,134.63279247283936,1.0,291.63006368279457,99.67832565307616,1.0,449.9222583770752,146.9709758758545,1.0,214.6443719863892,264.1164603233337,1.0,-2.8083746041049173,-3.1417262253030223,1.2597405910492512,109.541315317154,0.321515790415147,27.95755160034585,1.263452214448958,1.4704222033501944,True,0
3,3,3,3,349.78366446495056,135.69747972488406,1.0,242.04744160175323,133.46700954437256,1.0,294.47468352317816,101.2607479095459,1.0,450.5175609588623,146.8047399520874,1.0,214.8810968399048,263.76034545898443,1.0,-2.8699926907814675,-3.4392617833073067,2.3200525045395755,110.05627536773693,0.5921326343706899,28.0889816652908,0.5687452581813677,1.5758525280603302,True,0
4,4,4,4,349.6206645965576,134.7920866012573,1.0,242.291554927826,132.3162488937378,1.0,292.6319456100464,96.32507944107056,1.0,449.31511402130127,146.61876726150513,1.0,215.4386875629425,263.72686409950256,1.0,-3.101070571297201,-3.7329632983623378,2.564165830612353,109.89327549934393,0.6544361669716261,28.04738021821805,0.9199487297707136,1.176367880816058,True,0
5,5,5,5,348.62171870470047,132.97791767120358,1.0,245.95478343963626,130.88174962997437,1.0,300.4010210037232,88.17563486099243,1.0,449.3009295463562,146.48710012435913,1.0,215.20284461975098,263.7718160152436,1.0,-3.5640896735133145,-4.0990816626635915,6.227394342422599,108.8943296074868,1.5893792963860591,27.79242544396973,2.0710146792407094,3.9340858236034113,True,0
6,6,6,6,347.2363793849945,133.4651403427124,1.0,251.39510440826416,139.22890186309814,1.0,300.06698989868164,87.53588151931763,1.0,448.04638481140137,146.75710582733151,1.0,216.11058568954468,263.5611152648926,1.0,-3.4397388480724502,-1.9686896859209544,11.6677153110505,107.50899028778083,2.9778787293396425,27.438853867779216,-1.4685199904514643,-9.963535649789973,False,0
7,7,7,7,346.92988669872284,134.03902530670166,1.0,246.56465816497803,139.42899942398068,1.0,294.57482290267944,89.55943155288695,1.0,448.1459827423096,146.76999759674072,1.0,214.2822771072388,263.8468005657196,1.0,-3.293269742357049,-1.9176200245125616,6.837269067764367,107.20249760150921,1.7450338460335848,27.360629637343788,-0.6506010441360931,-4.8345889114947775,False,0
8,8,8,8,355.40884637832636,117.78587579727171,1.0,244.84753412008288,139.2974553108215,1.0,299.9579916000366,86.7542130947113,1.0,447.8343358039856,146.86162233352658,1.0,213.80709648132324,264.07879638671875,1.0,-7.441460447958933,-1.951193213959134,5.120145022869224,115.68145728111273,1.3067829089295566,29.524662012465786,18.331874596566085,1.7221552889515783,True,2
9,9,9,9,356.98017251491547,134.44040298461914,1.0,247.55585503578186,140.74586486816406,1.0,302.5888409614563,92.49911689758301,1.0,448.0658240318298,146.60867691040042,1.0,214.15533542633057,263.99958896636963,1.0,-3.1908286030561808,-1.5815246115638026,7.8284659385682,117.25278341770179,1.9980108856224088,29.925701852251073,-16.728488923439038,-3.071301422559142,False,0
