,Unnamed: 0.1,Unnamed: 0.1.1,bodyparts coords,Rightpaw x,Rightpaw y,Rightpaw likelihood,Leftpaw x,Leftpaw y,Leftpaw likelihood,Tailbase x,Tailbase y,Tailbase likelihood,Rotarodtop x,Rotarodtop y,Rotarodtop likelihood,Rotarodbottom x,Rotarodbottom y,Rotarodbottom likelihood,rel RightY mm,rel LeftY mm,rel LeftX px,rel RightX px,rel LeftX mm,rel RightX mm,Rightpaw euclidean velocity,Leftpaw euclidean velocity,step up,wait time b4 step up
0,0,0,0,352.610116481781,182.63814687728882,1.0,,,0.013510097749531269,226.78454160690308,149.82029151916504,1.0,441.07780599594116,161.68949031829834,1.0,231.6380980014801,284.52257633209234,1.0,4.886576161604162,,,145.36714625358582,,36.281677619226215,,,False,0
1,1,1,1,352.8390550613404,184.95388841629028,1.0,,,0.00420058611780405,226.8024764060974,154.61588382720947,1.0,440.9913940429688,161.83205699920651,1.0,224.8512020111084,284.38314533233637,1.0,5.464553993135193,,,145.59608483314517,,36.33881759859739,-2.327030672051303,,False,0
2,2,2,2,352.69577646255493,187.47721433639526,1.0,,,0.0010751099325716496,226.40940248966217,159.0231599807739,1.0,440.88838148117065,161.83196353912354,1.0,223.15207743644714,284.524432182312,1.0,6.094342084330027,,,145.45280623435974,,36.30305719423615,-2.5273904439052486,,False,0
3,3,3,3,352.5083746910095,190.16268658638,1.0,,,0.00022698730754200366,225.78921937942505,165.59885597229004,1.0,441.7181506156922,161.9760141372681,1.0,225.01463413238525,284.1692266464233,1.0,6.764599710901005,,,145.2654044628143,,36.2562842415043,-2.69200308867142,,False,0
4,4,4,4,353.09922790527344,192.1036458015442,1.0,,,0.00010535409819567576,224.08975982666016,169.51536035537717,1.0,441.7427172660828,161.88952112197873,1.0,219.5495491027832,283.9400095939636,1.0,7.249036933007622,,,145.85625767707825,,36.40375322877336,-2.0288987642898224,,False,0
5,5,5,5,353.1086597442627,194.2737503051757,1.0,,,0.00015197634638752788,223.4700219631195,174.77644062042236,1.0,442.0720896720886,161.81318950653073,1.0,218.09296321868896,283.83191108703613,1.0,7.790665726238794,,,145.8656895160675,,36.40610728847929,-2.1701250001482557,,False,0
6,6,6,6,353.3106999397278,196.41954898834229,1.0,,,0.00012906630581710488,223.27898526191711,178.23523902893066,1.0,441.8856129646301,162.06311321258542,1.0,217.3212666511536,283.40304279327387,1.0,8.326228114748503,,,146.0677297115326,,36.4565337942401,-2.1552893609125987,,False,0
7,7,7,7,352.99396753311163,197.9466018676757,1.0,,,9.758819942362608e-05,222.76642513275144,182.47190380096438,1.0,442.3696789741516,161.64450216293338,1.0,216.2843780517578,283.5970330238343,1.0,8.70735990211149,,,145.75099730491644,,36.37748166062829,-1.5595543958712443,,False,0
8,8,8,8,352.3777732849121,196.3632497787476,1.0,,,0.0005086120218038559,227.8152265548706,171.4968996047974,1.0,441.87386798858637,161.4136543273926,1.0,221.25577914714813,284.064471244812,1.0,8.312176591929386,,,145.1348030567169,,36.223687893328226,1.6990288958776356,,True,8
9,9,9,9,353.8819651603699,192.4999237060547,1.0,207.2429702281952,152.87714958190918,1.0,235.42757368087769,152.03300428390503,1.0,440.4737648963928,161.79968070983887,1.0,238.53198623657227,284.92159938812256,1.0,7.347942549232565,-2.5413670657740943,0.0,146.63899493217468,0.0,36.599113882689096,4.145827003402564,,True,0
