,Unnamed: 0.1,Unnamed: 0.1.1,bodyparts coords,Rightpaw x,Rightpaw y,Rightpaw likelihood,Leftpaw x,Leftpaw y,Leftpaw likelihood,Tailbase x,Tailbase y,Tailbase likelihood,Rotarodtop x,Rotarodtop y,Rotarodtop likelihood,Rotarodbottom x,Rotarodbottom y,Rotarodbottom likelihood,rel RightY mm,rel LeftY mm,rel LeftX px,rel RightX px,rel LeftX mm,rel RightX mm,Rightpaw euclidean velocity,Leftpaw euclidean velocity,step up,wait time b4 step up
0,0,0,0,,,0.0035106559999999996,269.90645950000004,169.26243259999995,1.0,365.6054732,169.30458159999995,1.0,173.4309907,158.66931200000005,0.999964237,168.7863092,273.7629981,1.0,,1.9454147789583984,0.0,,0.0,,,,False,0
1,1,1,1,,,0.003623803,270.4627635,170.0275803,1.0,365.1928329,173.72086519999996,1.0,173.25714059999999,158.75285630000005,0.9999972579999999,168.85675669999995,274.6090097,1.0,,2.1489259750666783,0.5563039999999546,,0.14796371006513268,,,-0.9460048325623536,False,0
2,2,2,2,,,0.0037458009999999996,270.0279005,171.9137073,1.0,365.36568239999997,178.3028297,1.0,172.83282409999995,159.7244158,0.9999983309999999,168.9001174,274.0509963,1.0,,2.650591159163933,0.12144099999994752,,0.03230043449986604,,,-1.9356086610929288,False,0
3,3,3,3,,,0.0038267170000000003,268.90326269999997,173.13801,1.0,365.8458463,177.4225335,1.0,171.7060402,159.36529209999995,0.9999978540000001,168.7220602,274.2727528,1.0,,2.9762267284475903,-1.003196800000012,,-0.26682662798305024,,,-1.6624461742914236,False,0
4,4,4,4,,,0.003796407,268.7979612,173.4953856,1.0,364.8850832,177.9307117,1.0,171.8872022,159.5134397,0.999991655,168.7555614,274.59091,1.0,,3.0712801878200824,-1.1084983000000648,,-0.29483433710509976,,,-0.3725664039840377,False,0
5,5,5,5,,,0.003827638,268.6670551,175.6557524,1.0,365.35385130000003,183.8989925,1.0,171.2926935,159.6941538,0.9999884370000001,167.6233425,274.54728839999996,1.0,,3.645886674254778,-1.2394044000000122,,-0.3296522644005193,,,-2.1643292535008443,False,0
6,6,6,6,,,0.00368579,268.8310276,178.3607936,1.0,365.14995530000004,189.80326269999998,1.0,171.565887,159.6361856,0.999994278,168.171134,274.49465039999995,1.0,,4.3653636721391536,-1.0754319000000123,,-0.2860394565676493,,,-2.7100064343933936,False,0
7,7,7,7,,,0.00350129,268.22783019999997,178.5448046,1.0,364.8888481,194.88310049999998,1.0,171.7572628,159.0442624,0.99999404,169.32734250000001,275.0896611,1.0,,4.414306247157123,-1.6786293000000114,,-0.4464757022276644,,,-0.63064027106412,False,0
8,8,8,8,,,0.003806956,267.9028995,180.21153930000003,1.0,366.0760498,200.4433641,1.0,172.9908026,158.47696299999996,0.999961615,169.3965259,274.74505899999997,1.0,,4.857618267035321,-2.00356000000005,,-0.5328995853672251,,,-1.6981120457692669,False,0
9,9,9,9,,,0.003743295,268.57393260000003,182.6230042,1.0,365.48859419999997,204.77791499999998,1.0,172.56462390000004,159.1648393,0.9999628070000001,168.6625905,274.7732472,1.0,,5.499010910798208,-1.3325269000000048,,-0.3544206474977833,,,-2.50308777018057,False,0
