,accuracy,0,1,2,3,4,5,6,7,8,9
k3,0.5,0.43195643642072207,0.20089285714285715,0.3671507064364208,,,,,,,
l3,0.5,0.27370323129251695,0.3535289115646258,0.3727678571428572,,,,,,,
m3,0.5714285714285714,0.2908163265306122,0.23246991104133966,0.4767137624280481,,,,,,,
n3,0.42857142857142855,0.15460729746444024,0.3029819882498454,0.5424107142857143,,,,,,,
o3,0.5714285714285714,0.2593729799612152,0.20791855203619913,0.5327084680025856,,,,,,,
p3,0.5714285714285714,0.315853020637423,0.3068161653801792,0.37733081398239776,,,,,,,
q3,0.6428571428571429,0.32929292929292936,0.42797202797202805,0.24273504273504268,,,,,,,
r3,0.6428571428571429,0.541801948051948,0.1724837662337663,0.28571428571428564,,,,,,,
s3,0.42857142857142855,0.21463830287359698,0.33416583416583406,0.4511958629605689,,,,,,,
t3,0.5714285714285714,0.1904761904761905,0.5118437118437118,0.2976800976800977,,,,,,,
u3,0.42857142857142855,0.4901587301587302,0.15555555555555556,0.35428571428571426,,,,,,,
v3,0.42857142857142855,0.22432748538011704,0.5283295194508009,0.2473429951690821,,,,,,,
w3,0.6428571428571429,0.30423280423280424,0.44444444444444436,0.2513227513227513,,,,,,,
x3,0.5714285714285714,0.2232142857142857,0.4641617063492065,0.3126240079365078,,,,,,,
y3,0.2857142857142857,0.4138032106782106,0.18973214285714288,0.3964646464646466,,,,,,,
z3,0.7142857142857143,0.34367788187325055,0.30144516117366793,0.35487695695308163,,,,,,,
a4,0.5,0.4023917259211377,0.0,0.46043775229295597,0.13717052178590639,,,,,,
b4,0.42857142857142855,0.05429864253393668,0.0620555914673562,0.34404718772449744,0.5395985782742097,,,,,,
c4,0.7142857142857143,0.23489632539406294,0.04524886877828055,0.17129928894634777,0.5485555168813088,,,,,,
d4,0.5714285714285714,0.2857142857142858,0.10666666666666667,0.44690476190476197,0.16071428571428567,,,,,,
e4,0.6428571428571429,0.19475355054302435,0.36842105263157887,0.20825396825396822,0.22857142857142856,,,,,,
f4,0.35714285714285715,0.14988687782805427,0.21621760592348838,0.20118343195266283,0.4327120842957945,,,,,,
g4,0.5714285714285714,0.5431818181818182,0.13333333333333333,0.08888888888888888,0.23459595959595958,,,,,,
h4,0.42857142857142855,0.08571428571428569,0.27999999999999997,0.6342857142857145,0.0,,,,,,
i4,0.35714285714285715,0.23292369832548393,0.033482142857142856,0.4285346350078494,0.3050595238095238,,,,,,
j4,0.42857142857142855,0.3682321833291362,0.0956937799043062,0.3765844035927139,0.15948963317384374,,,,,,
k4,0.5,0.5271335807050093,0.10714285714285712,0.26428571428571423,0.10143784786641931,,,,,,
l4,0.2857142857142857,0.1589586883704531,0.4329061941518688,0.4081351174776781,0.0,,,,,,
m4,0.5,0.10714285714285711,0.2378289473684211,0.27321428571428574,0.38181390977443597,,,,,,
n4,0.42857142857142855,0.0942684766214178,0.2737556561085972,0.31747352915954125,0.31450233811044376,,,,,,
o4,0.5,0.39651416122004357,0.0,0.0,0.6034858387799564,,,,,,
p4,0.2857142857142857,0.26785714285714285,0.3553165584415585,0.0,0.37682629870129863,,,,,,
