,accuracy,0,1,2,3,4,5,6,7,8,9
s3,0.2857142857142857,0.44267988445378154,0.2673647584033613,0.28995535714285714,,,,,,,
t3,0.42857142857142855,0.24899022108843533,0.11160714285714285,0.6394026360544218,,,,,,,
u3,0.35714285714285715,0.416289592760181,0.33160956690368454,0.25210084033613445,,,,,,,
v3,0.35714285714285715,0.4511961722488039,0.07972027972027972,0.46908354803091645,,,,,,,
w3,0.5,0.44056422046852667,0.15311004784688997,0.4063257316845834,,,,,,,
x3,0.42857142857142855,0.35247564935064934,0.24860853432282007,0.3989158163265306,,,,,,,
y3,0.35714285714285715,0.4,0.1572984749455338,0.4427015250544662,,,,,,,
z3,0.7142857142857143,0.21205357142857142,0.4063955389848246,0.3815508895866039,,,,,,,
a4,0.5,0.17660910518053377,0.22534013605442177,0.21433477237048668,0.38371598639455784,,,,,,
b4,0.2857142857142857,0.10859728506787328,0.4208144796380091,0.0,0.47058823529411764,,,,,,
c4,0.42857142857142855,0.053333333333333365,0.2222222222222222,0.48444444444444446,0.23999999999999996,,,,,,
d4,0.6428571428571429,0.4015873015873016,0.10830923462502422,0.24273504273504265,0.24736842105263152,,,,,,
e4,0.42857142857142855,0.35221445221445236,0.2653679653679654,0.2824175824175824,0.10000000000000002,,,,,,
f4,0.42857142857142855,0.07366071428571429,0.16071428571428573,0.22857142857142862,0.5370535714285714,,,,,,
g4,0.5,0.09481481481481477,0.10720538720538723,0.4104021582282451,0.38757763975155285,,,,,,
h4,0.5,0.22993827160493824,0.31867283950617287,0.3288398692810457,0.12254901960784323,,,,,,
i4,0.42857142857142855,0.27149321266968324,0.22705235940530055,0.09049773755656107,0.4109566903684552,,,,,,
j4,0.5714285714285714,0.37556561085972845,0.3438914027149321,0.0,0.2805429864253395,,,,,,
k4,0.5714285714285714,0.28645833333333337,0.11925465838509308,0.4693239795918368,0.12496302868973677,,,,,,
l4,0.5714285714285714,0.2545454545454546,0.3824501424501426,0.22051282051282045,0.1424915824915825,,,,,,
m4,0.5,0.15837104072398187,0.28874528972896074,0.2882004872955101,0.26468318225154724,,,,,,
n4,0.42857142857142855,0.11111111111111112,0.352156862745098,0.20000000000000007,0.33673202614379083,,,,,,
o4,0.42857142857142855,0.2484175084175084,0.26666666666666666,0.12121212121212123,0.3637037037037037,,,,,,
p4,0.35714285714285715,0.382771164021164,0.0,0.3923611111111111,0.2248677248677249,,,,,,
q4,0.35714285714285715,0.22954666816559402,0.09049773755656107,0.40361428852477443,0.2763413057530705,,,,,,
r4,0.35714285714285715,0.3333333333333333,0.0818181818181818,0.32000000000000006,0.26484848484848483,,,,,,
s4,0.42857142857142855,0.0,0.12121212121212124,0.29777777777777786,0.581010101010101,,,,,,
t4,0.2857142857142857,0.0,0.15397447868036093,0.10084033613445378,0.7451851851851853,,,,,,
u4,0.2857142857142857,0.1015873015873016,0.4984126984126983,0.20000000000000007,0.2,,,,,,
v4,0.35714285714285715,0.12675438596491223,0.28888888888888886,0.29027777777777786,0.29407894736842105,,,,,,
w4,0.5714285714285714,0.10342598577892698,0.24240465416936002,0.4148266594087029,0.23934270064301016,,,,,,
x4,0.35714285714285715,0.4618181818181818,0.09818181818181816,0.24000000000000005,0.2,,,,,,
y4,0.42857142857142855,0.2658431793770139,0.18855733082706774,0.46189413265306123,0.08370535714285714,,,,,,
z4,0.5714285714285714,0.3946025778732547,0.10937499999999997,0.11160714285714286,0.38441527926960245,,,,,,
a5,0.6153846153846154,0.28807390526140514,0.16323260073260076,0.28743131868131877,0.13950892857142855,0.12175324675324677,,,,,
