,Unnamed: 0,Unnamed: 0.1,bodyparts coords,Rightpaw x,Rightpaw y,Rightpaw likelihood,Leftpaw x,Leftpaw y,Leftpaw likelihood,Tailbase x,Tailbase y,Tailbase likelihood,Rotarodtop x,Rotarodtop y,Rotarodtop likelihood,Rotarodbottom x,Rotarodbottom y,Rotarodbottom likelihood,rel RightY mm,rel LeftY mm,rel LeftX px,rel RightX px,rel LeftX mm,rel RightX mm,Rightpaw euclidean velocity,Leftpaw euclidean velocity,step up,wait time b4 step up
0,0,0,0,419.15468794107437,134.95704698562622,0.9899997115135192,281.2590498924256,127.65774726867676,1.0,357.5791574716568,82.7161121368408,1.0,458.63590478897095,139.8582786619663,1.0,221.0215299129486,258.08349990844727,1.0,-1.7306819370625028,-3.587621754565391,0.0,137.89563804864878,0.0,35.08061196033705,,,False,0
1,1,1,1,368.4310851097107,131.88599237799644,0.9972381591796876,275.84640407562256,130.9157543182373,1.0,331.74942064285284,79.58057069778442,1.0,457.37427234649664,140.4631071090698,1.0,220.6522010564804,258.02503490448,1.0,-2.511957374950228,-2.758785667456136,-5.412645816803035,87.1720352172851,-1.3769755901272287,22.176541510120522,50.81648611028678,-6.317542613480468,True,1
2,2,2,2,363.2230267524719,128.77863073349,1.0,277.9248549938202,132.34430694580078,1.0,324.59057807922363,89.83212614059448,1.0,457.6243114471436,138.84460639953613,1.0,220.58590459823608,257.4650311470032,1.0,-3.3024693129196385,-2.395362276392859,-3.3341948986054035,81.96397686004633,-0.8482182547126452,20.851612912795147,6.064616083657318,-2.5220469521948026,True,0
3,3,3,3,360.34749364852905,129.9366397857666,1.0,274.9500832557678,131.19738674163818,1.0,314.0543556213379,89.45616054534912,1.0,456.8150000572205,138.64846229553223,1.0,222.43261814117432,258.56642866134644,1.0,-3.0078721321506454,-2.6871384572862973,-6.308966636657772,79.08844375610344,-1.6049993573634491,20.120078091056005,-3.0999476764980365,3.188211543833232,False,0
4,4,4,4,365.1806720495224,132.02726125344634,1.0,273.8621439933777,131.16124677658078,1.0,309.3458003997804,88.99902677536011,1.0,456.84932947158813,138.82304334640506,1.0,221.77112519741056,258.30278635025024,1.0,-2.4760186123333665,-2.6963324543436338,-7.3969058990479075,83.92162215709679,-1.8817708030770481,21.349637331795105,-5.265957802427968,1.0885393588310646,False,0
5,5,5,5,371.03127908706665,134.9803307056427,1.0,272.0595054626465,132.5863790512085,1.0,311.54505872726435,95.61175155639648,1.0,459.2838649153709,138.29793930053708,1.0,221.49416422843933,258.1095290184021,1.0,-1.7247585651672797,-2.333779200115755,-9.19954442977911,89.77222919464106,-2.3403615438445224,22.838030134648648,-6.553641880455295,-2.297935524043768,False,0
6,6,6,6,374.9267566204071,136.80631637573242,1.0,272.17977905273443,134.6388559341431,1.0,316.4382591247558,104.1992917060852,1.0,459.5672115981579,139.51006269454956,1.0,220.9872754812241,258.172345161438,1.0,-1.2602283186416083,-1.8116296520467368,-9.079270839691162,93.66770672798151,-2.30976397598336,23.82903853550261,-4.302205118324002,-2.055997833523559,False,0
7,7,7,7,375.7897727489472,138.17330360412598,1.0,271.16892766952515,134.79663372039795,1.0,311.8286626338959,101.98732852935792,1.0,459.40002822875977,140.32848358154294,1.0,221.88850510120392,258.9989461898804,1.0,-0.9124671480011508,-1.7714910271134754,-10.090122222900447,94.53072285652159,-2.5669242866773376,24.048589598532942,-1.6166171224849215,-1.0230905867867264,False,0
8,8,8,8,376.3046236038208,138.93259382247922,1.0,269.29316461086273,134.76800060272214,1.0,309.054984331131,100.93591976165771,1.0,459.7926071286202,139.9657039642334,1.0,222.44705367088318,258.51433563232416,1.0,-0.7193039276683033,-1.7787752842851592,-11.965885281562862,95.0455737113952,-3.0441178870090337,24.179567512793714,-0.917383801062016,1.875981585109623,False,0
9,9,9,9,377.6918630599976,139.5258469581604,1.0,268.0865418240428,134.79623031616208,1.0,307.33921760320663,101.22400569915771,1.0,460.19053679704666,140.5800090432167,1.0,222.3442313671112,258.97480535507196,1.0,-0.5683804949797185,-1.771593653038863,-13.172508068382795,96.43281316757202,-3.351082388322681,24.532480844548544,-1.5087685679948724,-1.2069529677638673,False,0
