,Unnamed: 0.1,Unnamed: 0.1.1,bodyparts coords,Rightpaw x,Rightpaw y,Rightpaw likelihood,Leftpaw x,Leftpaw y,Leftpaw likelihood,Tailbase x,Tailbase y,Tailbase likelihood,Rotarodtop x,Rotarodtop y,Rotarodtop likelihood,Rotarodbottom x,Rotarodbottom y,Rotarodbottom likelihood,rel RightY mm,rel LeftY mm,rel LeftX px,rel RightX px,rel LeftX mm,rel RightX mm,Rightpaw euclidean velocity,Leftpaw euclidean velocity,step up,wait time b4 step up
0,0,0,0,346.999449133873,170.23900842666623,1.0,,,0.003589089261367917,216.21400499343872,156.20770835876462,1.0,415.4459929466248,151.80418729782102,0.9999997615814208,195.40198230743408,266.721920967102,1.0,3.17472601193806,,,106.86761534214016,,29.9593023998342,,,False,0
1,1,1,1,347.4508625268936,170.83034372329712,1.0,,,0.003385055111721158,216.5323095321656,159.34901428222656,1.0,417.0058944225311,153.69148445129397,1.0,194.18202304840088,267.0624871253968,1.0,3.3405011432979395,,,107.31902873516079,,30.08585177876009,-0.7439431997403685,,False,0
2,2,2,2,346.9243950843811,173.62764704227448,1.0,,,0.0036354151088744398,216.67561435699463,166.298996925354,1.0,417.00227737426763,154.8402705192566,1.0,190.04289865493772,267.6102495193481,1.0,4.124698074884718,,,106.79256129264827,,29.9382617229382,-2.8464142049932573,,False,0
3,3,3,3,345.5722246170044,177.54083633422852,1.0,,,0.003526024287566542,217.20586776733398,169.33470344543457,1.0,417.4249200820923,155.2532353401184,1.0,191.20106172561646,268.0625801086426,1.0,5.221722846796284,,,105.44039082527159,,29.559193809814385,-4.140219246309249,,False,0
4,4,4,4,346.3999423980713,179.02515304088593,1.0,,,0.0036622793413698673,217.77035999298096,171.42321014404297,1.0,415.7089202404022,155.15459632873538,1.0,192.0825200080872,268.37300682067865,1.0,5.637836680060983,,,106.26810860633849,,29.79123648453218,-1.6995036954230498,,False,0
5,5,5,5,345.9420042037964,179.64933598041534,1.0,,,0.003648983081802726,219.28832626342773,171.99229955673218,1.0,417.5662059783936,154.41888952255252,1.0,193.38378238677976,268.0186653137207,1.0,5.812820330424192,,,105.81017041206356,,29.66285794067872,-0.774152266531168,,False,0
6,6,6,6,345.82911348342896,181.32028996944427,1.0,,,0.0037037865258753295,220.07409954071045,172.18708038330078,1.0,417.68712520599365,154.22624111175537,1.0,195.69581532478333,266.889229297638,1.0,6.2812561207546524,,,105.69727969169615,,29.631210119037014,-1.6747631319672562,,False,0
7,7,7,7,344.9653606414795,181.83980357646942,1.0,,,0.0034582875669002533,219.41044569015503,171.88726377487183,1.0,417.318076133728,154.4689059257507,1.0,193.1787257194519,267.66352987289434,1.0,6.426896736051116,,,104.83352684974669,,29.389065363510905,-1.0079500780594504,,False,0
8,8,8,8,344.5599627494812,183.4967834949493,1.0,,,0.003752254182472825,218.9508867263794,169.60543727874756,1.0,414.95539593696594,154.31858921051025,1.0,190.6015326976776,267.5267148017884,1.0,6.891415030852222,,,104.42812895774836,,29.27541598526149,-1.705851664442804,,False,0
9,9,9,9,344.22337341308594,184.64135646820068,1.0,,,0.003863554447889328,222.37907361984253,174.81926441192627,1.0,416.436372756958,154.71543407440188,1.0,196.54746073484418,267.40452861785894,1.0,7.2122849942600595,,,104.09153962135315,,29.18105642009911,-1.1930380012692336,,False,0
10,10,10,10,344.9228711128235,186.9709944725037,1.0,,,0.003929493948817253,223.1938092708588,176.8413381576538,1.0,417.41154527664185,154.8111295700073,1.0,194.32548570632926,267.42205953598017,1.0,7.8653764778644355,,,104.79103732109068,,29.377153835086173,-2.4323877698736727,,False,0
11,11,11,11,344.76237392425537,189.42574310302726,1.0,,,0.0039496649987995625,222.48299145698547,179.0852551460266,1.0,416.7177577018738,154.48054599761963,1.0,195.4659935832024,267.41362714767456,1.0,8.553541515532634,,,104.63054013252257,,29.33216000050643,-2.459989875303474,,False,0
12,12,12,12,344.83262848854065,189.8336744308472,1.0,,,0.0035852713044732813,222.2476589679718,176.27715492248538,1.0,416.2761659622192,154.5181555747986,1.0,195.84327375888824,267.1136198043823,1.0,8.667901118012734,,,104.70079469680785,,29.351855188142576,-0.41393679713194376,,False,0
13,13,13,13,343.65037274360657,190.96229672431943,1.0,,,0.003700712462887168,224.3673357963562,162.20150804519653,1.0,415.8925337791443,154.25046491622925,1.0,198.6187040805817,266.53329849243164,1.0,8.984299462610172,,,103.51853895187377,,29.02042122413932,-1.6344775702811485,,False,0
14,14,14,14,343.4580390453338,189.81529903411862,1.0,,,0.003647343488410115,230.12818574905398,142.3163137435913,1.0,415.6241226196289,154.35652875900269,1.0,229.23362958431244,266.16053867340094,1.0,8.662749753256014,,,103.326205253601,,28.966502331968066,1.1630115875679232,,True,14
15,15,15,15,340.2110671997071,185.70343923568728,1.0,,,0.01877347007393837,234.60555267333984,114.63516616821288,1.0,416.7031059265137,155.0382981300354,1.0,197.2586958408356,266.8405876159668,1.0,7.510029626278969,,,100.07923340797429,,28.056245177867236,5.239295483960452,,True,0
16,16,16,16,333.7761316299438,183.9700255393982,1.0,,,0.0037085460498929024,236.75794506073,84.78059637546541,1.0,416.3352394104004,154.38923931121823,1.0,200.32211780548096,266.07764434814453,1.0,7.024083861092034,,,93.64429783821095,,26.25227322583315,6.6643168314154675,,True,0
17,17,17,17,331.36568880081177,174.76408886909485,1.0,,,0.8798665404319763,251.3156123161316,73.59684991836549,1.0,416.1624460220337,153.47953844070437,1.0,200.6561484336853,265.68692922592163,1.0,4.443288550030336,,,91.23385500907897,,25.57652889108516,9.516275774174991,,True,0
18,18,18,18,331.4339852333069,151.5057649612427,1.0,,,0.0035531774628907438,249.33842658996585,64.8027868270874,1.0,416.12721586227417,154.26982450485232,1.0,229.4197062253952,267.1994571685791,0.9965630173683168,-2.0769576165730608,,,91.30215144157408,,25.595675135411852,23.2584241814715,,True,0
19,19,19,19,344.85669326782227,133.5595419406891,1.0,,,0.25185367465019226,255.73372626304626,70.08460879325868,1.0,416.9263257980346,155.21837329864505,1.0,200.08457612991333,265.46008682250977,1.0,-7.108007674968276,,,104.72485947608943,,29.358601516273648,22.41062274197869,,True,0
20,20,20,20,347.66767796874046,142.9126214981079,0.9999986886978148,240.13183379173282,143.76982951164248,0.9980000853538512,258.39207863807684,58.789630651474,0.9999998807907104,416.8714461326599,153.8678712844849,1.0,200.3145213127136,265.55301761627203,1.0,-4.48596227858406,-4.2456523024063015,0.0,107.53584417700763,0.0,30.14663389096919,-9.766357160999288,,False,0
21,21,21,21,347.3863586783409,142.1283047199249,0.9981673955917358,238.95743452012542,143.8612375855446,0.6055673360824585,249.8486442565918,41.18314933776856,0.9999994039535522,417.002977848053,153.73217439651492,1.0,200.25393629074097,266.4940128326416,1.0,-4.705837901892583,-4.220026932933502,-1.1743992716073992,107.25452488660808,-0.32923147768936145,30.067768748662004,0.8332426727492339,-1.1779512235769702,True,1
