,Unnamed: 0,Unnamed: 0.1,bodyparts coords,Rightpaw x,Rightpaw y,Rightpaw likelihood,Leftpaw x,Leftpaw y,Leftpaw likelihood,Tailbase x,Tailbase y,Tailbase likelihood,Rotarodtop x,Rotarodtop y,Rotarodtop likelihood,Rotarodbottom x,Rotarodbottom y,Rotarodbottom likelihood,rel RightY mm,rel LeftY mm,rel LeftX px,rel RightX px,rel LeftX mm,rel RightX mm,Rightpaw euclidean velocity,Leftpaw euclidean velocity,step up,wait time b4 step up
0,0,0,0.0,,,0.388132274,287.1312435,152.691215,1.0,389.3057684,93.82585812,1.0,454.345614,141.606492,1.0,228.1150923,256.3986402,1.0,,1.984362223225272,0.0,,0.0,,,,False,0
1,1,1,1.0,,,0.001451299,285.44699,153.8098898,1.0,399.8878314,90.04228401,1.0,453.2788352,142.7756422,1.0,228.4200792,257.005311,1.0,,2.2859664691923904,-1.6842534999999543,,-0.4540890765439281,,,-2.021915715458324,False,0
2,2,2,2.0,,,0.005648716,286.5285861,155.3774281,1.0,424.6503067,73.37910676,0.999980688,453.2720443,142.8012469,1.0,228.3645735,257.25694080000005,1.0,,2.7085881345736738,-0.6026573999999982,,-0.16248156363538585,,,-1.9044753727738548,False,0
3,3,3,3.0,,,0.01001393,287.3509622,156.3832846,1.0,424.598134,63.71751022,0.999995589,453.7952272,143.5936923,1.0,227.3836708,256.82943680000005,1.0,,2.9797756067806294,0.21971870000004395,,0.059238031319189824,,,-1.2992496867205403,False,0
4,4,4,4.0,,,0.0017143179999999998,287.38415739999994,157.4647617,1.0,429.87021555,68.66884017,0.012266382,453.05491460000013,143.92069530000003,1.0,228.1417284,257.0334587,1.0,,3.271351036276497,0.2529138999999532,,0.06818773972926595,,,-1.0819864320440664,False,0
5,5,5,5.0,,,0.019359646,286.6405022,159.88909630000003,1.0,435.1422971,73.62017012,0.983395219,459.9465876,144.5652564,0.997089207,227.2472692,256.2289071,1.0,,3.924972275447169,-0.4907412999999679,,-0.1323080306729113,,,-2.5358275393339085,False,0
6,6,6,6.0,,,0.0052419070000000005,287.0924988,160.9583716,1.0,415.0326238,85.48991597,0.995126605,229.2689587,146.2585118,0.999933243,227.184195,256.4480853,1.0,,4.213257995826093,-0.038744699999995184,,-0.010445900836168559,,,-1.160883540068312,False,0
7,7,7,7.0,,,0.005650459,287.5626938000001,162.2660379,1.0,436.5657642,78.40769696,0.99999249,228.5610951,144.92661830000003,0.999886036,227.244504,256.5177374,1.0,,4.5658159585048885,0.4314503000001082,,0.11632267250841705,,,-1.3896310626136603,False,0
8,8,8,8.0,,,0.02819681,288.17398639999993,165.119133,1.0,429.4254732,115.6372299,1.0,229.3202511,145.4696751,0.998251855,227.7164011,256.9638147,1.0,,5.335034677213829,1.0427428999999506,,0.28113235954903937,,,-2.9178468589798685,False,0
9,9,9,9.0,,,0.000222562,288.6160889,167.8457546,1.0,431.5951455,136.2490635,1.0,229.0384636,146.7291393,0.999762714,227.6251011,256.67275,1.0,,6.070155064037283,1.4848454000000402,,0.400326955827336,,,-2.762230976962792,False,0
