,Unnamed: 0,Unnamed: 0.1,bodyparts coords,Rightpaw x,Rightpaw y,Rightpaw likelihood,Leftpaw x,Leftpaw y,Leftpaw likelihood,Tailbase x,Tailbase y,Tailbase likelihood,Rotarodtop x,Rotarodtop y,Rotarodtop likelihood,Rotarodbottom x,Rotarodbottom y,Rotarodbottom likelihood,rel RightY mm,rel LeftY mm,rel LeftX px,rel RightX px,rel LeftX mm,rel RightX mm,Rightpaw euclidean velocity,Leftpaw euclidean velocity,step up,wait time b4 step up
0,0,0,0,302.7466919422149,238.1098349094391,1.0,191.95275402069092,222.1003305912017,1.0,242.3194798231125,213.74098777771,1.0,377.6438751220703,208.8282160758972,1.0,166.5445098876953,314.0204591751098,1.0,10.095146234536251,5.560459417178992,0.0,110.79393792152399,0.0,31.38234637055573,,,False,0
1,1,1,1,302.98343920707697,239.92644929885864,1.0,191.17384672164917,225.31946039199832,1.0,243.2211675643921,217.73168706893918,1.0,377.6548752784729,209.09076166152957,1.0,166.92049193382263,313.996684551239,1.0,10.609701661123584,6.4722768714149215,-0.7789072990417479,111.03068518638605,-0.2206252355286438,31.449404955236112,-1.8319762845806309,-3.3120225323625694,False,0
2,2,2,2,303.11263251304626,242.0074372291565,1.0,190.14917397499084,225.19409608840942,1.0,243.1992604136467,220.69895553588867,1.0,377.6631474494934,209.36924505233762,1.0,166.65867352485657,313.4607691764832,1.0,11.199140805960278,6.436767473775163,-1.8035800457000728,111.15987849235536,-0.5108634530282059,31.48599891653711,-2.084994406791685,1.0323131532430676,False,0
3,3,3,3,302.2093644142152,243.902037076652,1.0,190.12456893920898,225.89831352233887,1.0,244.43266105651853,226.2927532196045,1.0,377.6874942779541,209.72784280776975,1.0,166.7030930519104,313.67134761810297,1.0,11.735785587823882,6.636236829647424,-1.8281850814819336,110.25661039352428,-0.5178328212973723,31.23014852548893,-2.0989049145913805,-0.7046471471850266,False,0
4,4,4,4,303.67308139801025,246.72836351394653,1.0,191.1587245464325,228.7890431880951,1.0,245.1527110338211,230.76092720031738,1.0,377.6004424095154,209.5481023788452,1.0,165.44043827056885,313.97192525863653,1.0,12.536341618915227,7.4550350539569425,-0.7940294742584229,111.72032737731934,-0.22490858667067165,31.644745878337396,-3.1828585483492877,-3.070145895626937,False,0
5,5,5,5,304.14109468460083,248.5498871803284,1.0,191.6537013053894,230.20161581039432,1.0,245.55681991577148,234.70584154129028,1.0,377.95849084854126,209.7561821937561,1.0,166.01437520980838,313.68255615234375,1.0,13.052287596582792,7.855145783281838,-0.2990527153015137,112.18834066390993,-0.08470658296570999,31.777310487388572,-1.8806873487144384,-1.496784354934534,False,0
6,6,6,6,303.5639321804046,249.81831502914432,1.0,191.1135075092316,232.7548723220825,1.0,245.742551445961,239.19820308685303,1.0,378.46850526332855,209.51774168014526,1.0,165.03943634033203,313.2559428215027,1.0,13.411569366365134,8.57835484801812,-0.8392465114593222,111.61117815971369,-0.2377162975428497,31.613829398453802,-1.3935658448389991,-2.6097754983686725,False,0
7,7,7,7,303.7600755691528,251.23255443572998,1.0,190.8424336910248,234.3202919960022,1.0,245.24355602264404,242.60574388504028,1.0,378.38095140457153,209.11657238006592,1.0,165.060622215271,313.5746431350708,1.0,13.812152211789371,9.021759454297456,-1.1103203296661093,111.80732154846186,-0.31449786713540234,31.669386948618225,-1.4277763578689309,-1.5887163908048805,False,0
8,8,8,8,303.65588665008545,253.46902644634247,1.0,190.38399267196647,238.35089993476868,1.0,244.58356380462646,247.07988595962524,1.0,378.525169968605,208.8507761955261,1.0,163.87109279632568,313.3028693199157,1.0,14.445632171088295,10.163427823444833,-1.5687613487244505,111.70313262939452,-0.4443511345655191,31.63987547165943,-2.2388975825413167,-4.0565956816033095,False,0
9,9,9,9,303.2820844650269,252.82288837432858,1.0,190.9563193321228,240.33253145217896,1.0,243.5307153761387,240.1263132095337,1.0,377.9644341468811,208.8415098190308,1.0,164.1581087112427,313.6315741539001,1.0,14.262613775320961,10.724724297104133,-0.9964346885681152,111.329330444336,-0.2822397968599191,31.533996126041387,0.7464733629945244,-2.0626248511834304,True,9
10,10,10,10,303.9705076217652,250.23209381103518,1.0,192.42064809799197,239.01513266563416,1.0,243.42309999465942,227.11346769332886,1.0,377.99675512313837,209.17366456985474,1.0,165.8867359161377,313.1627912521363,1.0,13.528772069849534,10.351571525363298,0.4678940773010538,112.01775360107428,0.13253084305924515,31.72899175810905,2.6806982135115733,1.969720360188632,True,0
11,11,11,11,303.97009801864624,246.69620680809018,1.0,194.90021800994882,235.73646593093872,1.0,243.10767078399655,208.25388097763062,1.0,376.7559771537781,208.83207845687863,1.0,165.60627365112302,312.9398117065429,1.0,12.527233242588403,9.422890254238967,2.9474639892578978,112.01734399795531,0.8348682027273769,31.7288757381607,3.535887026669561,4.110708272971958,True,0
12,12,12,12,302.34596705436707,244.1197748184204,1.0,195.87911397218704,225.56396865844727,1.0,242.2512402534485,183.9288513660431,1.0,375.4538381099701,208.74419021606445,1.0,165.68643474578855,311.98135709762573,1.0,11.797459731358332,6.5415337572347925,3.926359951496124,110.39321303367615,1.1121401611395572,31.26884117825315,3.0456203286890733,10.219488150770193,True,0
13,13,13,13,303.14162802696234,246.24857592582703,1.0,210.16972517967224,191.87235045433044,0.9770526885986328,235.057776927948,178.81156826019287,1.0,375.8919715881348,209.70020055770874,1.0,168.49557113647458,312.7729959487915,1.0,12.400441942839766,-3.001605985799004,18.216971158981323,111.18887400627142,5.159951071858357,31.49421188628957,-2.272635152902218,36.5970860301128,False,0
14,14,14,14,300.3904085159302,246.31722736358643,1.0,210.0701799175956,191.9536185950944,0.002893163356930017,216.5576858520508,185.4372386932373,1.0,377.4995629787445,209.7579255104065,1.0,168.02498483657837,313.00283193588257,1.0,12.419887439940233,-2.9785868117341527,18.11742589690468,108.43765449523926,5.1317549092104535,30.714929867287804,-2.7520759106155626,-0.12850591389169636,False,0
15,15,15,15,297.96307039260864,243.25896072387687,1.0,209.97063465551886,192.0348867358583,0.010845127515494823,205.59721612930298,182.89839935302726,1.0,376.2694401741028,208.4331512451172,1.0,163.5266532897949,313.62767887115484,1.0,11.553634423021009,-2.9555676376693256,18.017880634828003,106.01031637191772,5.103558746562541,30.027387144521807,3.9044801452293867,-0.12850591389170848,True,2
