,Unnamed: 0,Unnamed: 0.1,bodyparts coords,Rightpaw x,Rightpaw y,Rightpaw likelihood,Leftpaw x,Leftpaw y,Leftpaw likelihood,Tailbase x,Tailbase y,Tailbase likelihood,Rotarodtop x,Rotarodtop y,Rotarodtop likelihood,Rotarodbottom x,Rotarodbottom y,Rotarodbottom likelihood,rel RightY mm,rel LeftY mm,rel LeftX px,rel RightX px,rel LeftX mm,rel RightX mm,Rightpaw euclidean velocity,Leftpaw euclidean velocity,step up,wait time b4 step up
0,0,0,0,316.26434689760214,135.89539170265198,0.9999998807907104,180.69808197021484,144.42632007598874,1.0,272.8160195350647,71.75121784210205,1.0,359.6277902126312,140.4378953278065,1.0,142.98951506614685,249.87102031707764,1.0,-1.1646418209179472,1.1520820931205515,0.0,135.5662649273873,0.0,36.81540790751153,,,False,0
1,1,1,1,319.0752785205841,134.6615982055664,1.0,180.79952239990243,146.26833200454712,1.0,273.63739013671875,80.67828559875487,1.0,,,0.015214926563203338,143.549072265625,249.90987157821647,1.0,-1.4997001843918538,1.6523128884198233,0.10144042968758528,138.37719655036926,0.027547936053722688,37.57876591811715,3.069785494546921,-1.8448029991645605,True,1
2,2,2,2,323.3417917490005,134.29797744750977,0.007755074184387922,180.61246681213382,146.96258020401,1.0,277.991925239563,84.51580238342284,1.0,357.79846620559687,142.24356651306152,1.0,143.91001510620114,250.09713411331177,1.0,-1.598447808210096,1.8408482195803573,-0.08561515808102628,142.64370977878562,-0.02325030470897263,38.7374127609071,4.281980287663838,-0.7190065057931857,True,0
3,3,3,3,327.608304977417,133.93435668945312,1.0,179.27063179016113,149.11279487609863,1.0,279.7281858921051,94.7152452468872,1.0,360.10921239852905,140.84210693836212,1.0,143.64702320098874,250.3535480499268,1.0,-1.697195432028338,2.4247769003923536,-1.427450180053711,146.91022300720215,-0.38764924794879024,39.896059603697076,4.281980287663953,-2.534550130152809,True,0
4,4,4,4,324.79031646251684,135.81706428527832,0.9999998807907104,178.45291411876678,149.50287151336667,1.0,280.0002036094665,103.25226092338562,1.0,360.7401337623596,140.64600574970243,1.0,143.52258396148682,250.56854820251462,1.0,-1.1859130112284395,2.5307090843608746,-2.245167851448059,144.092234492302,-0.6097148897342904,39.13078516974922,-3.3890481202672595,-0.9059922588261644,False,0
5,5,5,5,326.97995352745056,136.85534000396729,0.999067723751068,178.84492826461792,151.83665394783017,1.0,283.6925125122071,107.77357530593872,1.0,359.52342343330383,141.74542236328125,1.0,143.29137468338013,250.3092174530029,1.0,-0.903950945485366,3.1644888254947,-1.853153705596924,146.28187155723572,-0.503256541171287,39.72541969595763,-2.4233297225410007,-2.3664774543523084,False,0
6,6,6,6,326.62436127662664,137.6720156669617,0.999835729598999,179.59908866882324,153.7266926765442,1.0,287.1309094429016,108.15142822265624,1.0,359.75498056411743,141.35606896877292,1.0,143.46541476249698,249.95459079742432,1.0,-0.6821682794409707,3.6777621446045186,-1.0989933013916016,145.92627930641183,-0.2984509951648067,39.628852354740076,-0.8907328372600757,-2.0349457760122345,False,0
7,7,7,7,327.1063723564148,137.8482825756073,0.95468932390213,179.6774659156799,155.44405937194824,1.0,290.06737387180334,111.06279850006105,1.0,359.5176610946655,141.39753472805026,1.0,143.6795551776886,249.690345287323,1.0,-0.6342998945897709,4.1441433306019375,-1.0206160545349403,146.40829038619998,-0.2771662727802132,39.75975095645228,-0.5132296796971276,-1.7191542569844818,False,0
8,8,8,8,327.05525870621204,138.86005460470915,0.3635950684547424,178.93576097488403,156.6059989929199,1.0,294.0590431690216,114.84011936187744,1.0,359.90339756011963,141.5119420289993,1.0,143.521226644516,249.83408546447757,1.0,-0.3595353727469173,4.459688507957701,-1.7623209953308103,146.35717673599717,-0.478589318233612,39.74587014412139,-1.0130623100826135,-1.3784882669013725,False,0
9,9,9,9,327.00414505600935,139.871826633811,0.08687388896942139,179.4371942281723,158.22963523864746,1.0,294.8615922927856,117.47647762298584,1.0,359.8441300392151,141.39113104343411,1.0,143.3636374473572,249.42447519302368,1.0,-0.08477085090406368,4.900615538822628,-1.2608877420425415,146.3060630857945,-0.34241628309034783,39.73198933179052,-1.0130623100826106,-1.6993027881880167,False,0
