,st_ad_mm_fi_cl_190624_Day4_139m2_rotarod1-2_rotated2_2Nov15.csv,st_ad_mm_fi_cl_190705_Day4_146m12_rotarod2_2Nov15.csv,st_ad_mm_fi_cl_190824_Day4_146m2_rotarod3_2Nov15.csv,st_ad_mm_fi_cl_190624_Day4_139m1_rotarod3_2Nov15.csv,st_ad_mm_fi_cl_190630_Day4_145m3_rotarod3_2Nov15.csv,st_ad_mm_fi_cl_190824_Day4_146m1_rotarod3_2Nov15.csv,st_ad_mm_fi_cl_190705_Day4_146m2_rotarod2_2Nov15.csv,st_ad_mm_fi_cl_190630_Day4_145m7_rotarod3_2Nov15.csv,st_ad_mm_fi_cl_190824_Day4_146m2_rotarod1_2Nov15.csv,st_ad_mm_fi_cl_Experiment1-190705_Day4_146m2_rotarod3_2Nov15.csv,st_ad_mm_fi_cl_190824_Day4_146m1_rotarod1_2Nov15.csv,st_ad_mm_fi_cl_190705_Day4_146m12_rotarod1_2Nov15_.csv,st_ad_mm_fi_cl_190630_Day4_145m7_rotarod1_2Nov15.csv,st_ad_mm_fi_cl_190624_Day4_146m5_rotarod2_2Nov15.csv,st_ad_mm_fi_cl_190624_Day4_146m5_rotarod1_2Nov15.csv,st_ad_mm_fi_cl_190630_Day4_145m3_rotarod1_2Nov15_.csv,st_ad_mm_fi_cl_190705_Day4_146m12_rotarod3_2Nov15.csv,st_ad_mm_fi_cl_190624_Day4_139m1_rotarod2_2Nov15.csv,st_ad_mm_fi_cl_190630_Day4_145m3_rotarod2_2Nov15.csv,st_ad_mm_fi_cl_190824_Day4_146m2_rotarod2_2Nov15.csv,st_ad_mm_fi_cl_190824_Day4_146m1_rotarod2_2Nov15.csv,st_ad_mm_fi_cl_190624_Day4_146m5_rotarod3_2Nov15.csv,st_ad_mm_fi_cl_190705_Day4_146m2_rotarod1_2Nov15.csv
0,9.063458697398769,5.149780154284152,3.99552507951469,3.6772562166080816,5.164537922150336,7.593332811669756,2.68279064919551,3.5225468203720234,6.0343463457854325,2.471393034242418,6.293883462025484,4.3783295794315125,9.690449345276157,5.043068834469611,5.130586191948137,6.161981774518405,3.412709679383395,3.99540378804556,7.260626332641169,4.656654153768334,4.6973612856854245,3.811109960775778,2.23554581937358
1,10.971529661361872,5.505129544888552,7.709109887134218,5.2928434406679274,8.369694096252243,6.8229445287923145,5.102347313030175,6.410623469942572,8.750970774565879,3.133562878855377,4.866538950535295,6.1292193732348395,6.299102214117574,10.331044491701737,7.100711606279348,5.105834123732957,5.400411359494786,5.516761300558944,9.365380850563334,7.86077010076996,8.538663143097212,4.993637355673396,4.470604200574546
2,11.539695122281994,7.944744043015182,11.213878290680222,7.140348708697854,10.421236756332087,5.447400834816253,5.745846722699363,11.256464091756278,12.037550836480884,4.275341659906622,6.487652689456525,7.656726686014505,8.883920063814232,11.445123054538291,11.767958391438386,6.816813412101256,6.849376089564178,7.252645860903496,8.357996620609786,7.462171082879915,8.847102784792732,6.80745589311526,5.2585014131139864
3,16.22455127926757,8.336631692534123,9.07632721535323,7.631426885084585,14.582663104612042,9.371368759121598,7.464509610921234,8.173632101230528,17.9963459295707,4.52151467575982,7.581692561417618,10.109940004237403,8.557284728973297,14.64750544763652,10.818478760064462,11.60820123325323,9.561187167375353,8.607049138210908,8.60454588244022,9.362941162825734,8.889289533822646,9.22263120794283,7.657202371824523
4,,8.288595206477154,10.34212138357118,13.754255343053945,16.567663060654215,9.419238842334735,8.739319607229243,8.309479412582094,16.60085593967455,6.44614048293774,15.80789361995576,14.42193443949061,11.677527452503801,15.44504886245777,20.441349752535675,11.57973920949239,9.64009334280122,9.6578948537742,11.377900916997714,14.060985449377771,8.649987493554885,10.756958195986169,10.902229038467674
5,,12.31726502937986,12.132486941085174,14.739099431781495,19.0069394004797,16.416411868525895,12.327640410688433,9.481143315406378,21.076480931286543,7.117786375537693,17.26079362053628,16.034826010764007,13.398820600406705,19.834918246705477,16.65578632307522,11.73101921677836,11.06576713243191,4.865616689677046,9.423819385831852,15.214053207485737,16.90492607312508,10.897764852847606,16.540526322119177
6,,14.238122066621528,15.0647466640628,,19.765906515835262,19.02656961418639,12.698682043630946,14.672988856726352,19.202848587901624,11.022283170570185,19.27142618675478,16.11411309785588,10.362965755367592,19.420180470916065,27.858188557243363,14.861638439728027,14.477780049265185,,18.53060910470223,22.360302268265382,22.517505918052336,18.332945435873516,16.782444889661434
7,,15.70186069733826,14.860657545716801,,21.11223937368143,18.421768784492738,15.44483933803812,10.784261629033365,20.1194445040186,14.853121992770358,17.13554922865143,14.82176578814178,12.476732786860385,21.75121609787732,,11.67874895874013,18.85956276463625,,19.9063179860576,,20.246764898432893,17.115831277225872,17.41883981419951
8,,13.661073347175874,16.47708430413428,,19.483507227891256,20.0171293458759,,11.432735195440372,23.265445551593857,17.40436706715569,19.311637545999705,17.25500129353168,10.299663022030785,,,14.446231620239187,16.766339831915836,,11.662189679916944,,21.62532728291076,20.647772900630002,20.61161495785292
9,,16.890489606255503,17.996543478441723,,18.160086637704616,19.922462400372723,,12.457962161382005,23.89114196795964,,18.717134498198252,18.67419541721831,12.246843991369884,,,16.271686988907277,18.28381223448521,,16.51754365427871,,22.38344767032472,,
10,,11.430796933688482,,,5.53802825328798,,,,,,29.969050874774307,,,,,,,,15.887249090407854,,,,
