,st_ad_mm_fi_cl_190623_Day3_146m5_rotarod2_2Nov15.csv,st_ad_mm_fi_cl_190823_Day3_146m1_rotarod1_2Nov15.csv,st_ad_mm_fi_cl_190823_Day3_146m2_rotarod1-3_2Nov15.csv,st_ad_mm_fi_cl_190629_Day3_145m3_rotarod3_2Nov15.csv,st_ad_mm_fi_cl_190704_Day3_146m12_rotarod3_2Nov15.csv,st_ad_mm_fi_cl_190629_Day3_145m3_rotarod1_2Nov15.csv,st_ad_mm_fi_cl_190704_Day3_146m12_rotarod1_2Nov15_.csv,st_ad_mm_fi_cl_190823_Day3_146m1_rotarod3_2Nov15.csv,st_ad_mm_fi_cl_190704_Day3_146m2_rotarod2_2Nov15.csv,st_ad_mm_fi_cl_190623_Day3_139m2_rotarod3_2Nov15.csv,st_ad_mm_fi_cl_190623_Day3_139m1_rotarod3_2Nov15.csv,st_ad_mm_fi_cl_190823_Day3_146m2_rotarod3_2Nov15.csv,st_ad_mm_fi_cl_190629_Day3_145m7_rotarod3_2Nov15_.csv,st_ad_mm_fi_cl_190629_Day3_145m3_rotarod2_2Nov15.csv,st_ad_mm_fi_cl_190704_Day3_146m2_rotarod2_2Nov15 copy.csv,st_ad_mm_fi_cl_190704_Day3_146m2_rotarod3_2Nov15 copy.csv,st_ad_mm_fi_cl_190704_Day3_146m2_rotarod3_2Nov15.csv,st_ad_mm_fi_cl_190629_Day3_145m7_rotarod3_2Nov15_ copy.csv,st_ad_mm_fi_cl_190823_Day3_146m2_rotarod2_2Nov15.csv,st_ad_mm_fi_cl_190623_Day3_139m1_rotarod2_2Nov15.csv,st_ad_mm_fi_cl_190704_Day3_146m12_rotarod2_2Nov15.csv,st_ad_mm_fi_cl_190823_Day3_146m1_rotarod2_2Nov15_.csv
0,5.939825763618109,9.031565225377562,4.976270881172075,5.848450412919979,4.676964898757188,6.936614516376216,5.479749369825345,7.7057980686540235,2.4800642218181537,6.0514085609018435,2.623221587990279,5.250166846439879,9.379295139825452,4.7483252846196855,2.4800642218181537,2.4386907805953193,2.4386907805953193,9.379295139825452,3.5978042968064745,3.7622901037165875,4.664780127046716,5.572483151897353
1,4.942678993864821,5.7569812952098465,7.340269666817473,6.594185603150838,5.720301753190937,6.630045208820771,7.205552819581624,8.156452734599437,4.381468133561553,11.084048440902885,5.058217812364489,5.737590745157194,5.600171949068176,6.8295808429858464,4.381468133561553,4.598052089575913,4.598052089575913,5.600171949068176,4.976741982457097,3.714555835839038,4.429332356821795,8.07310200167887
2,10.746488099763809,13.92872747331236,10.329960248976388,10.384865480882715,7.476858388569914,10.747169550111705,11.78510991980627,11.120715449437434,5.287330821418504,12.08583580650009,4.953677873522987,11.109052398974434,8.041685448253313,10.723989102667812,5.287330821418504,8.489235876324885,8.489235876324885,8.041685448253313,7.396492434106166,5.663404303312017,6.826031471946456,6.647468783664993
3,14.125232793570042,14.223212195918672,13.798125843970238,13.88408057967258,10.71386156696799,11.183594711206538,13.580377061328115,10.831623528709256,6.4784487942473135,8.806577946115121,5.61140581167281,11.921789902248635,9.966005926243488,9.202375409562647,6.4784487942473135,8.791771863498758,8.791771863498758,9.966005926243488,9.652726363026472,3.8442822207407774,12.639042451188232,10.455705366234865
4,12.409885744569294,13.709489333686426,13.013266103013889,11.330921383121348,14.144701836866757,16.36265889777189,9.94170811594725,12.856350508126448,6.9125347598562135,15.205345969454811,5.680492048388612,17.110055313833424,12.300853226597692,11.534303583562101,6.9125347598562135,14.109741348810832,14.109741348810832,12.300853226597692,10.742596738391716,5.91041614141632,14.121620888783376,12.629721753852422
5,16.54527398296639,20.2458091991307,17.949897012998353,17.782935732719064,23.827034718441023,11.488200249478911,16.129241977131183,16.278810829880022,7.483644016184169,18.223903863429182,7.946022911529724,19.44446625477146,13.616077164271344,,7.483644016184169,13.663534907700944,13.663534907700944,13.616077164271344,9.570246496883632,4.733595294625491,15.154216094449172,16.27965898661002
6,15.358137574324802,23.247508949464674,19.231761068419395,15.670634295537466,22.41428841557403,11.918909553524827,13.146303411053683,19.8576610993502,13.428500321565277,21.539877616884397,,19.31691368718862,10.873878023738685,,13.428500321565277,16.69224291200645,16.69224291200645,10.873878023738685,17.945156309304316,7.32937998746019,16.536237515422947,22.695737248598416
7,13.412924586013176,22.985574054896045,18.277124474015856,14.169257825204859,19.068624859808136,17.58427655578975,15.709667109277525,19.54229717502791,,18.36642379089586,,23.474873354109302,16.93389638330158,,,,,16.93389638330158,16.49997175373476,7.554551584340114,14.476693263989572,23.49327467055749
8,,38.13603481189801,20.47321063103806,19.649471941387983,19.223515623428362,13.726698341313202,17.60146584375258,19.445925055461245,,,,20.059732708470285,14.99828792119451,,,,,14.99828792119451,16.526632147402115,13.301961032465531,19.37642599919749,26.47961298991754
9,,,19.93271686934458,15.910983116132197,,15.630241683813304,23.208321076832043,,,,,,11.12036500370533,,,,,11.12036500370533,19.41874830279801,,18.412726221895593,
10,,,,,,22.50556085665381,,,,,,,,,,,,,,,,
