,st_ad_mm_fi_cl_190704_Day3_146m3_rotarod2_2Nov15_.csv,st_ad_mm_fi_cl_190629_Day3_145m6_rotarod3_2Nov15.csv,st_ad_mm_fi_cl_190823_Day3_146m5_rotarod1_2Nov15.csv,st_ad_mm_fi_cl_190623_Day3_146m6_rotarod2_2Nov15.csv,st_ad_mm_fi_cl_190629_Day3_145m67_rotarod1_2Nov15.csv,st_ad_mm_fi_cl_190629_Day3_145m1_rotarod2_2Nov15_.csv,st_ad_mm_fi_cl_190823_Day3_146m3_rotarod1_2Nov15.csv,st_ad_mm_fi_cl_190629_Day3_145m6_rotarod1_2Nov15.csv,st_ad_mm_fi_cl_190823_Day3_146m5_rotarod3_2Nov15.csv,st_ad_mm_fi_cl_190629_Day3_145m67_rotarod3_2Nov15.csv,st_ad_mm_fi_cl_190629_Day3_145m2_rotarod2_2Nov15 copy.csv,st_ad_mm_fi_cl_190629_Day3_145m2_rotarod1_2Nov15.csv,st_ad_mm_fi_cl_190704_Day3_146m1_rotarod2_2Nov15.csv,st_ad_mm_fi_cl_190629_Day3_145m1_rotarod1_2Nov15.csv,st_ad_mm_fi_cl_190704_Day3_146m3_rotarod1_2Nov15at_End.csv,st_ad_mm_fi_cl_190823_Day3_146m3_rotarod3_2Nov15.csv,st_ad_mm_fi_cl_190629_Day3_145m2_rotarod2_2Nov15.csv,st_ad_mm_fi_cl_190629_Day3_145m1_rotarod3_2Nov15_.csv,st_ad_mm_fi_cl_190704_Day3_146m1_rotarod1_2Nov15.csv,st_ad_mm_fi_cl_190623_Day3_146m6_rotarod3_2Nov15.csv,st_ad_mm_fi_cl_190629_Day3_145m6_rotarod2_2Nov15.csv,st_ad_mm_fi_cl_190704_Day3_146m3_rotarod3_2Nov15_.csv,st_ad_mm_fi_cl_190704_Day3_146m1_rotarod3_2Nov15.csv,st_ad_mm_fi_cl_190823_Day3_146m3_rotarod2_2Nov15.csv,st_ad_mm_fi_cl_190823_Day3_146m5_rotarod2_2Nov15.csv,st_ad_mm_fi_cl_190623_Day3_146m6_rotarod1_2Nov15.csv,st_ad_mm_fi_cl_190629_Day3_145m67_rotarod2_2Nov15.csv,st_ad_mm_fi_cl_190629_Day3_145m2_rotarod1_2Nov15 copy.csv
0,3.4289861216798334,3.9568201433263335,4.252963057365308,3.870986570257054,8.612227498244174,3.856476902105843,4.656927708208432,4.733827887518773,6.019588575653141,12.353083250174958,7.506012374507592,6.038738693645612,2.656025378804753,4.968640138437101,4.7074320805892995,4.48683311846367,7.506012374507592,5.323730263465018,4.2342065046028,1.8033053599366924,3.9052724249803004,4.342012949684908,2.8085385395383304,5.966236299361166,3.3157033259065805,6.6912357402185325,6.344711774542658,6.038738693645612
1,5.829596314271244,3.518266504770583,16.520947653153584,5.439820096388971,8.674229142232521,4.973439647518806,6.302189716810883,6.745110570011178,4.4714534050202746,12.884096312721653,9.277397481489013,5.8503565048178965,5.683731651030186,10.824432241500933,6.351714819251618,5.2955081757686475,9.277397481489013,10.423866851838962,5.4090073642141565,7.342015934485093,5.034870160660651,6.24585419755972,4.856091206161614,5.4855452111018,5.686602302638453,5.755370018361261,6.4783005340804065,5.8503565048178965
2,7.2056035354932995,4.356972899592899,,6.647323908328626,13.660271929756979,7.742867904009415,10.40497167257495,6.645259940254945,7.505043589675179,13.579782211262643,9.951413088877217,7.697998765097593,10.177651542850288,12.623912372220607,9.422396635903652,6.852143348321825,9.951413088877217,10.643284584628672,10.950682988355593,9.803596476083339,5.925867177499189,10.04281478524003,6.197179001886574,7.932329430728074,7.3256811926530565,8.00347740109361,11.107754459699459,7.697998765097593
3,9.023168730859682,,,6.9963780245768135,13.542756794232599,9.641485933166846,12.32000711206162,5.729758015036521,13.113383114958586,15.071690531784116,8.884171246682246,12.928897518262792,10.534186261027292,15.660141354139625,11.101776100394586,8.883396202654135,8.884171246682246,14.073512932944517,13.607858992050277,6.7124503308933665,11.898306171193244,14.54316454565591,9.848122215877757,8.924565437104258,13.152118268035156,9.277229349932071,14.047572255463594,12.928897518262792
4,11.012800884746513,,,8.422206575870648,14.421986233834442,15.593778211960103,9.375371665580364,10.132902799632733,10.520849137367975,,12.982555967503874,10.644230524564238,14.027563835879665,19.775813619336247,17.571933597576354,10.091983439464236,12.982555967503874,17.38246964831915,16.123874731419253,7.661215968738281,9.648676480772092,13.004726881399828,14.24798204094418,10.429360377951026,13.172936788171814,11.141191513835443,14.589432717901133,10.644230524564238
5,9.075723113834382,,,8.70825704313138,,16.401190091512778,9.725015617533304,,11.61540743194993,,10.30818952336224,7.0393367710501975,13.213922373417876,20.402194730798186,17.12281007299413,12.057309085821304,10.30818952336224,21.194660035029127,21.273423946560836,10.466504888475152,,10.177142602485183,14.718194078520266,15.026122863411196,,11.933526128777094,,7.0393367710501975
6,14.696637167968381,,,9.389889204552281,,16.56994687447154,10.570698403547162,,11.70692557178558,,15.098517812609899,,17.718124457457535,18.355242215265562,19.298666507891983,12.451778270419087,15.098517812609899,19.23191138877712,19.361584861103513,9.110693562532493,,9.223475748122272,17.139962181542813,15.228859223370408,,13.052486228744,,
7,14.221243207631874,,,9.33860320295473,,,14.654954325059705,,16.745530986929836,,20.9170321881204,,15.133125364504954,,15.055677846637172,13.491456200847855,20.9170321881204,,22.123784397478747,9.894293865987533,,13.590418654707447,16.871329173148876,11.087216978223683,,10.959952388136742,,
8,15.764939417174487,,,7.643399063287259,,,17.495384753678486,,,,,,19.416082249207086,,14.18849538493294,11.832410950589429,,,22.91617748632886,10.278678402703045,,18.313405921165792,20.86720427760214,19.41720753972199,,8.896278433274158,,
9,,,,10.530316702389587,,,15.851431146793452,,,,,,21.38341159435111,,14.423615315198836,12.646563817796356,,,24.970172214189763,9.972489886468251,,,20.24239115656299,18.657234212021287,,12.839732578926023,,
