,st_ad_mm_fi_cl_190824_Day4_146m3_rotarod3_2Nov15.csv,st_ad_mm_fi_cl_190705_Day4_146m1_rotarod2_2Nov15.csv,st_ad_mm_fi_cl_190630_Day4_145m2_rotarod3_2Nov15_.csv,st_ad_mm_fi_cl_190624_Day4_146m6_rotarod3_2Nov15_.csv,st_ad_mm_fi_cl_190630_Day4_145m1_rotarod3_2Nov15.csv,st_ad_mm_fi_cl_190630_Day4_145m67_rotarod3_2Nov15.csv,st_ad_mm_fi_cl_190630_Day4_145m6_rotarod3_2Nov15.csv,st_ad_mm_fi_cl_190630_Day4_145m1_rotarod1_2Nov15_.csv,st_ad_mm_fi_cl_190630_Day4_145m1_rotarod2_2Nov15_.csv,st_ad_mm_fi_cl_190824_Day4_146m3_rotarod1_2Nov15.csv,st_ad_mm_fi_cl_190630_Day4_145m67_rotarod1_2Nov15_.csv,st_ad_mm_fi_cl_190630_Day4_145m6_rotarod1_2Nov15.csv,st_ad_mm_fi_cl_190630_Day4_145m67_rotarod2_2Nov15.csv,st_ad_mm_fi_cl_190630_Day4_145m6_rotarod2_2Nov15.csv,st_ad_mm_fi_cl_190624_Day4_146m6_rotarod1_2Nov15.csv,st_ad_mm_fi_cl_190705_Day4_146m1_rotarod3_2Nov15.csv,st_ad_mm_fi_cl_190824_Day4_146m3_rotarod2_2Nov15.csv,st_ad_mm_fi_cl_190624_Day4_146m6_rotarod2_2Nov15_.csv,st_ad_mm_fi_cl_190705_Day4_146m3_rotarod3_2Nov15.csv,st_ad_mm_fi_cl_190630_Day4_145m2_rotarod1_2Nov15_.csv,st_ad_mm_fi_cl_190705_Day4_146m1_rotarod1_2Nov15.csv,st_ad_mm_fi_cl_190705_Day4_146m3_rotarod1_2Nov15.csv
0,2.573199940750589,2.437326349410405,5.592310895639055,1.9986142759011898,9.522963698724807,9.486529693931786,5.688766796902004,7.266128041115939,4.61347126735282,4.874512132311249,11.41132115907132,3.233313689030731,8.858843604061205,3.751126961760143,3.3090428695899945,3.2324437748707413,3.304434376615395,3.975014491840403,4.350106018432812,5.699806397276135,6.391722502903814,3.682862419911357
1,4.803560240367879,3.4179459208802063,9.626162170721027,6.843679379029536,8.366261764081516,6.489003596183825,4.753220400555202,12.630095283273151,8.018702538203375,7.787173738792413,15.138331341325722,6.273632294617111,5.928635026715636,4.892797767492883,7.424320356101186,4.02203320436495,4.231132818150162,6.05266281739867,5.949553209286047,8.844445128183553,9.987474536118514,6.068117129037549
2,4.857147876572797,5.80889097160075,13.140219627450564,6.978863497931151,10.530108368069646,12.111204329827551,7.329048017034606,11.819459493443734,13.778834878382527,13.089754713428466,14.885606409964334,,11.699561504911399,5.848032741430217,6.826106127011836,4.414560729424066,5.944870970447553,6.639231326167275,7.705527495981753,7.913067376789412,10.073047671475997,8.396548817308535
3,5.936424091595242,6.923230799531858,9.51864275420701,7.321334314663739,12.594955377173097,12.217054542086066,9.49931535772709,14.327106439242336,16.846864686533497,11.906622864591382,15.952817349267995,,11.948839017160314,8.868906459367942,8.47011735191555,5.604015794679693,8.813083049918705,9.87459624487089,10.787153752034783,11.275085706069264,15.179825284193761,13.528442989271769
4,7.318616513049493,8.31581403730421,9.6305609171123,9.414313093981422,13.591661327959327,11.667165762075626,7.90280136258027,16.736256516472697,17.31009930435241,12.398910775361097,19.72200366142808,,12.50379802989938,8.956631605027845,11.11694981941524,11.801577224614366,9.801431553917915,9.358033046389323,15.735392908039369,8.111935709588703,16.247530740994502,12.807771319037908
5,10.45050538062465,11.760903192548998,12.137328959566881,12.940734424862343,15.162757372393884,12.711291544341961,8.881064282051197,14.9264312614284,18.049358149747786,11.319235857887172,19.23684766439844,,13.52617004657571,13.066568710012856,14.833345637300509,13.300970281155585,7.4929149408006985,11.529913446521094,16.28495714577972,13.302280649667782,17.45025390579311,14.770733511402888
6,9.428148688221274,17.161889924337597,9.343473502468887,12.49917342180926,,15.46973131790019,12.6567385682276,11.127445936977416,16.691219245567492,12.19104405589556,17.722960661573893,,17.907460197968994,9.40918182893198,15.651768705373518,15.687429136565871,11.195045274494046,11.800284666156603,14.679278100449803,9.12768398350246,25.23629816100125,16.10527475330744
7,7.44833447536304,16.98138726424331,14.18485128588688,12.387108481609244,,21.48737129340792,13.652476879009225,,,15.755338178472588,,,15.226583528664303,,16.599395193023962,14.60160499177049,14.853442873967785,15.488111395666065,17.586306389908977,12.522534168683151,25.748819015745386,16.958772897100445
8,12.937786492943163,19.42661052746162,12.43157968792494,12.398903519479113,,17.147045421491047,15.009446276394588,,,17.67825632271642,,,17.92805357259799,,14.776411225957476,17.777834609956347,13.41212674107888,13.740402678640711,17.443478691265014,15.384647382900958,20.978842711679142,17.149131439259758
9,16.293182513214195,20.00103409485929,,18.22155845112704,,,18.580106918365832,,,19.98119514599341,,,18.137589627177185,,16.884318511178865,21.818038989641217,12.831715184129399,13.794436988416056,18.69744026813434,12.858276361865043,20.937517335496203,20.77097274730882
10,17.900603967311962,,,,,,,,,26.533614115166962,,,,,,29.28002277502587,,,,,27.79089590839862,20.85260596276051
