scorer,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000
bodyparts,Rightpaw,Rightpaw,Rightpaw,Leftpaw,Leftpaw,Leftpaw,Tailbase,Tailbase,Tailbase,Rotarodtop,Rotarodtop,Rotarodtop,Rotarodbottom,Rotarodbottom,Rotarodbottom
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,420.13453021645546,159.67071080207825,1.0,306.89606273174286,175.66661262512207,1.0,369.62308168411255,118.2614164352417,1.0,459.3601665496826,157.95332670211792,1.0,220.03249740600586,280.13502073287964,1.0
1,420.3786666691303,161.19110107421875,1.0,307.25835847854614,177.4788374900818,1.0,370.72391271591187,122.46603345870972,1.0,460.172643661499,157.65968668460846,1.0,220.9430627822876,280.19196605682373,1.0
2,420.4898526966572,163.4588041305542,1.0,307.7357716560364,179.89493989944458,1.0,373.11858904361725,125.51423645019531,1.0,459.0135064125061,158.03116059303284,1.0,220.28682136535645,281.0241937637329,1.0
3,419.81522846221924,167.388254404068,1.0,307.62178590893745,182.39531707763672,1.0,374.3860573768616,134.26015281677246,1.0,458.73027181625366,158.32057094573975,1.0,219.165189743042,279.82764172554016,1.0
4,420.62474167346954,171.4283800125122,1.0,309.17890071868896,187.30180597305298,1.0,375.2252264022827,152.34037256240845,1.0,458.06877756118774,159.0108380317688,1.0,219.75224542617798,280.57859802246094,1.0
5,424.02114057540894,175.59042024612427,1.0,308.7572900056839,189.98568439483643,1.0,379.4976465702057,164.6423511505127,1.0,458.86284494400024,160.42059803009033,1.0,220.33519458770752,280.7681336402893,1.0
6,422.90569615364075,180.78208845853806,1.0,309.1598045825958,192.10695362091064,1.0,380.64116859436035,168.92052507400513,1.0,458.5207438468933,160.0776171684265,1.0,221.04501819610596,281.00579357147217,1.0
7,423.52708649635315,182.97102975845337,1.0,309.0799388885498,193.0726842880249,1.0,373.79824209213257,170.59429216384888,1.0,458.8242268562317,160.095965385437,1.0,220.5841417312622,280.9098687171936,1.0
8,421.61564779281616,176.89401531219482,1.0,309.6113624572754,192.87143182754517,1.0,373.8547067642212,159.04195380210876,1.0,458.61284160614014,160.02264308929443,1.0,220.00264835357666,280.15569734573364,1.0
9,419.0236659049988,160.4861545562744,1.0,309.89301681518555,193.16087913513184,1.0,376.83497285842896,142.92896938323975,1.0,459.0340702533722,158.93911600112915,1.0,220.97780895233154,280.07446336746216,1.0
10,414.22602820396423,147.2438775897026,1.0,308.8788639307022,191.34539985656738,1.0,382.73285484313965,127.37688326835632,1.0,458.5693144798279,158.87413048744202,1.0,221.09108543395996,280.408164024353,1.0
11,414.65588450431824,149.09731662273407,1.0,308.3875427246094,194.91101217269897,1.0,388.3505001068115,119.59114193916321,1.0,459.160195350647,158.68923902511597,1.0,220.8977346420288,280.97426557540894,1.0
12,418.4163315296173,154.2571039199829,1.0,309.2603418827057,198.03632640838623,1.0,393.9142436981201,131.66051483154297,1.0,459.01890087127686,159.03094863891602,1.0,220.9513521194458,280.371356010437,1.0
13,419.1568360924721,155.82385581731796,1.0,309.1996819972992,199.81325912475586,1.0,394.48158168792725,133.7460126876831,1.0,459.47690773010254,159.34732818603516,1.0,220.54278945922852,280.4009494781494,1.0
14,420.72084099054337,156.61577653884888,1.0,309.640341758728,202.01074361801147,1.0,396.26930236816406,139.70206260681152,1.0,459.04194259643555,159.52492928504944,1.0,220.34724044799805,280.931031703949,1.0
15,424.6022973060608,156.2158532589674,0.9999934434890747,310.46710538864136,203.74658107757568,1.0,400.231707572937,140.89312267303467,1.0,459.2100682258606,159.20318412780762,1.0,220.7380895614624,280.74668169021606,1.0
16,425.53067779541016,155.8052182942629,0.9895963072776794,309.37850737571716,205.78440475463867,1.0,398.7174952030182,142.17487716674805,1.0,459.0181188583374,159.08897066116333,1.0,219.6960325241089,280.2467918395996,1.0
17,424.9269552230835,165.07010221481323,0.0672893077135086,309.04100227355957,209.37157678604126,1.0,400.7066538333893,150.73926830291748,1.0,458.9133720397949,158.9673731327057,1.0,221.1231336593628,280.0799517631531,1.0
18,439.2391257286072,156.55571293830872,0.0016384137561544776,309.0702877044678,211.38245487213135,1.0,403.6949568390846,156.28003025054932,1.0,457.63368368148804,159.1575357913971,1.0,220.57920932769775,280.1754174232483,1.0
19,438.5762724876404,156.65448719263077,0.0006715174531564116,308.9607039093971,213.84655570983887,1.0,396.9987602233887,161.6220259666443,1.0,457.65789461135864,159.13994097709656,1.0,221.15439414978027,279.9313631057739,1.0
20,440.0326933860779,156.639505982399,0.0001528116117697209,308.8164291381836,215.74140906333923,1.0,402.7198486328125,169.76047277450562,1.0,457.5533571243286,159.12484002113342,1.0,221.41594791412354,280.08499574661255,1.0
21,440.7700979709625,157.7132524251938,0.0005661615869030356,309.05195713043213,217.31071281433105,1.0,406.93767499923706,171.27503204345703,1.0,224.42455220222473,158.96088027954102,1.0,220.93646907806396,279.8903069496155,1.0
22,440.95624685287476,157.83462464809418,0.0007698829867877066,308.8529039621353,219.29948711395264,1.0,408.08796882629395,172.40166854858398,1.0,458.27078104019165,158.83594584465027,1.0,221.17896175384521,279.731924533844,1.0
23,440.87309074401855,162.8977893590927,0.001008655410259962,307.7846556007862,221.90541553497314,1.0,407.0005683898926,177.93442010879517,1.0,457.93079948425293,159.154620885849,1.0,220.63756275177002,279.6087324619293,1.0
